Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Souttar,Leicester City,Stoke City,"RCB, CB",24,15000000,2028-06-30,7,692,0,0.16,0,0,17.56,64.44,Scotland,"Scotland, Australia",right,198,79,no,11.05,6.5,70,5.59,69.77,0.13,0.18,0.39,6.37,8.8,1.82,4,0.52,0,0,0.52,0,0,0,0.02,0,0,1,0.13,0,0,0,0.13,0,0,0,0.13,0,0,0.39,100,1.82,42.86,0.26,0.52,0.26,20.29,0.78,0.52,37.46,77.08,20.42,63.06,2.47,89.47,11.71,93.33,27.31,83.81,10.14,58.97,25.83,42.61,0,0,0,0,0.26,50,0,8.71,56.72,1.82,35.71,1.56,25,0.65,0,10.79,75.9,0,,0,,0,0,0,0,,,1.69,,,0,0,0,0,0,0
T. Harwood-Bellis,Burnley,Burnley,RCB,21,13000000,2024-06-30,26,2549,1,2.07,2,0.52,12.39,61.54,England,England,right,188,73,yes,8.62,4.31,71.31,5.23,56.08,0.25,0.45,0.56,5.3,9.7,0.32,4,0.14,0,0,0.42,0.04,1,0.04,0.07,1,0.04,12,0.42,58.33,8.333,0.07,0.14,25,0.07,50,0.07,0,0,0.28,50,0.74,52.38,0.56,2.01,0.18,53.32,0.25,0.21,70.72,87.12,27.4,75.13,2.51,92.96,36.51,95.65,60.52,92.88,10.06,53.33,23.39,42.65,0.02,0.14,0.04,0,0.14,0,0.11,10.24,65.17,1.06,20,1.31,21.62,0.25,0.11,12.78,71.55,0,,0,,0,0,0,0,,,1.48,,,0,0,0,0,0,0
A. Ahmedhodzic,Sheffield United,Sheffield United,RCB,23,10000000,2026-06-30,28,2558,4,2.88,2,0.83,18.93,57.99,Sweden,"Sweden, Bosnia and Herzegovina",right,190,84,no,10.7,7.99,68.28,4.12,53.85,0.56,0.81,0.32,4.68,6.77,1.27,11,0.39,0,0,0.99,0.14,4,0.14,0.1,2,0.07,28,0.99,32.14,14.286,0.07,1.06,16.67,0.07,50,0.95,14.81,0.25,0.84,50,2.43,33.33,1.86,2.39,0.6,19.35,0.91,0.6,33.6,79.37,12.95,67.12,4.5,95.31,10.45,87.21,28.85,84.88,3.73,53.77,18.2,31.92,0.03,0.32,0.04,0.04,0.21,33.33,0.28,4.33,57.72,1.37,28.21,0.18,40,0.39,0.25,5.84,63.25,0,,0,,0,0,0,0,,,1.06,,,0,0,0,0,0,0
B. Cabango,Swansea City,Swansea City,"RCB, LCB",22,8000000,2025-06-30,35,3307,1,3.02,0,1.3,15.62,59.23,Wales,"Wales, Angola",right,188,81,no,8.57,5.93,69.72,4.33,52.83,0.41,0.71,0.41,4.03,6.99,0.71,8,0.22,1,0.03,0.52,0.03,1,0.03,0.08,1,0.03,22,0.6,36.36,4.545,0,0.11,50,0.03,100,0.08,33.33,0,0.3,45.45,1.63,50,1.01,1.82,0.11,53.78,0.33,0.46,68.09,90.61,26.32,83.87,3.76,92.75,26.92,96.26,63.66,93.46,4.33,49.69,17.59,39.29,0.04,0.27,0,0,0.24,44.44,0.14,7.21,76.6,0.79,34.48,0.6,13.64,0.33,0.03,8.57,67.62,0,,0,,0,0,0,0,,,0.9,,,0.03,0,0,0,0,0
J. Egan,Sheffield United,Sheffield United,CB,30,7000000,2024-06-30,36,3563,2,5.13,2,0.48,15.51,60.1,Republic of Ireland,Republic of Ireland,right,185,75,no,9.78,5.46,70.37,6.44,56.08,0.18,0.26,0.61,5.76,8.48,0.68,7,0.18,1,0.03,0.51,0.05,2,0.05,0.13,1,0.03,34,0.86,38.24,5.882,0.05,0.08,0,0,0,0.08,0,0.03,0.25,70,0.61,45.83,1.34,0.23,0.1,21.95,0.08,0.28,39.88,82.58,17.4,68.07,2,94.94,17.15,95.58,32.61,87.37,7.2,61.75,22.73,38.79,0.01,0.08,0.03,0.03,0.03,0,0.03,5.08,57.71,0.4,43.75,0.35,50,0.3,0,8.13,65.22,0,,0,,0,0,0,0,,,1.47,,,0,0,0,0,0,0
A. Tuanzebe,Stoke City,Stoke City,RCB,25,6000000,2023-06-30,4,273,0,0,0,0.02,14.18,53.49,Congo DR,"Congo DR, England",right,185,75,yes,6.26,3.96,66.67,4.95,53.33,0,0,0.33,3.63,5.79,0.33,1,0.33,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,66.67,2.97,33.33,0.66,1.98,0,31.98,0,0.33,48.46,92.52,11.87,83.33,4.29,100,27.36,98.8,44.84,94.85,3.63,63.64,21.19,33.93,0.01,0.33,0,0,0,0,0,2.97,77.78,0.66,50,0.33,0,0.33,0,5.27,81.25,0,,0,,0,0,0,0,,,2.97,,,0,0,0,0,0,0
B. Wilmot,Stoke City,Stoke City,"RCB, LCB",23,6000000,2025-06-30,35,3286,3,2.83,0,1.17,17.94,58.02,England,"England, Republic of Ireland",right,188,80,no,10.46,6.27,69.43,5.94,50.69,0.33,0.48,0.49,5.78,8.36,0.49,5,0.14,0,0,1.01,0.08,3,0.08,0.08,1,0.03,22,0.6,22.73,13.636,0,0.93,29.41,0,0,0.93,29.41,0.11,0.88,46.88,1.84,52.24,1.07,1.86,0.44,29.44,0.9,0.52,48.2,80.4,19.83,67.13,4.57,97.01,20.08,89.9,37.88,88,9.42,54.94,24.14,41.28,0.03,0.27,0,0,0.27,70,0.11,8.96,63.61,1.56,42.11,0.77,39.29,0.38,0.3,11.07,76.24,0,,0,,0,0,0,0,,,2.57,,,0,0,0,0,0,0
C. Cresswell,Millwall,Millwall,RCB,20,5000000,2025-06-30,27,2371,5,3.06,1,1.45,23.61,58.04,England,England,right,190,75,yes,9.53,6.49,70.18,10.17,55.6,0.53,0.67,0.61,4.44,5.61,0.95,4,0.15,0,0,1.18,0.19,5,0.19,0.12,3,0.11,27,1.02,44.44,18.519,0.04,0.42,63.64,0.08,100,0.34,55.56,0.08,0.76,55,1.94,50.98,1.75,0.72,0.08,22.51,0.3,0.49,37.77,81.01,17.23,68.94,2.81,97.3,14.39,91.56,29.72,87.74,7.63,55.72,23.61,41.41,0.06,0.27,0.04,0,0.15,25,0.11,6.6,62.64,0.95,36,0.49,30.77,0.27,0.23,8.92,74.04,0,,0,,0,0,0,0,,,1.86,,,0,0,0,0,0,0
D. Fry,Middlesbrough,Middlesbrough,"RCB, CB",25,5000000,2024-06-30,30,2502,0,1.64,0,0.21,15.58,67.44,England,England,right,191,72,no,8.35,4.39,73.77,6.37,66.1,0.07,0.11,0.32,5.04,7.68,0.58,2,0.07,1,0.04,0.18,0,0,0,0.06,0,0,10,0.36,20,0,0,0.11,33.33,0.04,0,0.07,50,0,0.14,50,0.68,57.89,0.58,0.32,0.07,33.99,0.22,0.58,49.64,86.52,18.35,72.35,3.85,94.39,22.05,96.08,44.06,91.84,5.47,44.74,20.17,37.71,0.01,0.14,0,0,0,0,0.04,5.11,55.63,0.32,11.11,0.4,27.27,0.11,0,7.55,63.33,0,,0,,0,0,0,0,,,3.06,,,0.04,0,0,0,0,0
T. Holmes,Reading,Reading,"CB, RCB",23,4500000,2025-06-30,32,2948,0,1.11,0,0.77,13.46,58.05,England,England,right,191,82,no,8.43,5.13,66.67,5.01,56.71,0.37,0.43,0.43,4.64,5.47,0.67,8,0.24,0,0,0.49,0,0,0,0.03,0,0,11,0.34,45.45,0,0,0.49,50,0,0,0.49,50,0.03,0.24,37.5,0.92,33.33,0.73,0.24,0.21,23.14,0.27,0.27,36.09,83.42,14.68,69.85,2.69,94.32,14.96,94.29,29.22,89.34,6.38,58.85,23.21,42.14,0.02,0.15,0,0,0,0,0.12,4.67,62.75,0.61,40,0.12,25,0.18,0.27,8,66.03,0,,0,,0,0,0,0,,,1.74,,,0.03,0,0,0,0,0
