Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Dewsbury-Hall,Leicester City,Luton Town,"LCMF, LDMF",24,20000000,2027-06-30,39,3436,3,2.85,5,7.58,18.49,53.12,England,England,left,177,70,no,8.38,6.05,60.17,2.15,43.9,0.08,0.11,0.21,4.66,6.4,0.68,3,0.08,0,0,3.25,0.08,3,0.08,0.07,0,0,48,1.26,31.25,6.25,0.13,1.75,43.28,1.18,35.56,0.5,57.89,0.26,2.7,65.05,7.05,50.56,1.18,2.2,1.62,27.08,0.34,0.81,42.9,79.18,14.41,62,7.26,96.39,14.67,86.43,36.33,85.58,4.87,44.62,20.25,38.4,0.2,1.55,0.05,0,1.13,30.23,0.34,8.85,58.58,2.83,57.41,1.18,17.78,0.86,0.76,7.44,78.17,0,,0,,0,0,0,0,,,0.47,,,1.57,0.13,40,3.12,0,0
V. Janelt,Brentford,Brentford,DMF,24,16000000,2026-06-30,44,3500,4,1.66,3,2.11,14.89,55.79,Germany,Germany,left,184,79,no,9.26,6.3,58.37,2.93,54.39,0.21,0.32,0.31,5.37,8.33,1.49,9,0.23,0,0,0.67,0.1,4,0.1,0.04,0,0,16,0.41,37.5,25,0.08,0.18,42.86,0.15,50,0,0,0,0.72,46.43,3.09,57.5,0.41,0.57,0.28,23.61,0.08,1.36,37.21,85.14,10.05,66.24,7.17,94.62,15.2,92.55,32.81,89.18,4.22,55.49,20.03,33.42,0.05,0.46,0.03,0,0.28,36.36,0.15,5.22,71.92,0.82,43.75,0.54,23.81,0.41,0.08,5.48,69.95,0,,0,,0,0,0,0,,,1.18,,,0.21,0,0,0.54,0,0
J. Lerma,Bournemouth,Bournemouth,"LDMF, RCMF, LCMF",28,15000000,2023-06-30,44,3809,3,2.78,2,1.89,18.74,53.59,Colombia,Colombia,right,179,70,no,6.97,4.87,54.85,5.69,57.68,0.28,0.46,0.24,4.02,6.5,1.35,12,0.28,1,0.02,1.3,0.07,3,0.07,0.07,0,0,37,0.87,35.14,8.108,0.05,0.33,50,0.07,66.67,0.24,50,0.05,0.95,60,4.56,52.85,0.66,0.64,0.38,29.35,0.43,1.54,44.66,81.64,15.81,66.82,5.81,95.12,16.85,88.64,38.89,86.76,5.43,46.96,18.94,36.66,0.04,0.52,0.05,0,0.83,31.43,0.26,8.34,65.44,1.65,47.14,1.32,33.93,0.61,0.17,7.66,74.07,0,,0,,0,0,0,0,,,0.21,,,0.02,0.02,0,0,0,0
M. Tavernier,Bournemouth,Middlesbrough,"RCMF, RW, AMF",23,15000000,2027-06-30,29,2344,3,5.41,4,3.49,30.6,43.66,England,England,left,177,70,no,7.49,6.26,65.03,5.91,38.31,0.19,0.28,0.12,3.23,4.76,0.88,3,0.12,0,0,4.07,0.12,3,0.12,0.21,1,0.04,47,1.8,29.79,6.383,0.15,1.73,35.56,0.73,26.32,0.88,34.78,0.23,5.07,51.52,13.05,37.65,2.84,1.8,1.23,16.4,1.34,2.19,27.95,76.24,8.26,62.33,5.8,92.72,9.29,80.58,24.69,80.72,1.57,48.78,16.97,25.97,0.13,1.15,0.08,0,1.19,25.81,0.5,3.3,62.79,2.34,54.1,1,19.23,0.92,0.61,4.19,76.15,0,,0,,0,0,0,0,,,0.19,,,1.11,0.19,20,2.38,1,0
O. Skipp,Tottenham Hotspur,Norwich City,"RDMF, RCMF, LDMF",22,15000000,2027-06-30,45,4141,1,0.79,1,2.09,17.58,53.65,England,England,right,175,70,no,8.72,6.89,57.73,4.04,47.85,0.67,1.07,0.48,4.06,6.44,1.06,7,0.15,0,0,1.02,0.02,1,0.02,0.02,0,0,6,0.13,16.67,16.667,0.02,0.3,50,0.09,75,0.22,40,0.02,1,60.87,3.63,55.09,0.22,1.37,1.09,38.66,0.3,1.37,52.25,89.68,15.3,78.27,8.63,96.73,20.99,94.93,48.92,91.91,3.04,57.14,18.37,36.84,0.05,0.43,0.07,0.07,0.54,44,0.15,6.72,78.32,0.93,62.79,0.74,38.24,0.54,0.15,7.09,74.85,0,,0,,0,0,0,0,,,1.24,,,0,0,0,0,0,0
J. Garner,Everton,Nottingham Forest,"RDMF, RCMF, LDMF",22,14000000,2026-06-30,40,3057,4,4.51,1,4.42,17.96,51.31,England,England,right,182,78,no,9.16,7.74,56.65,2.77,38.3,0.77,1.03,0.21,4,5.38,1.41,4,0.12,0,0,1.71,0.12,4,0.12,0.13,0,0,53,1.56,28.3,7.547,0.03,0.77,30.77,0.24,37.5,0.53,27.78,0.21,1.41,58.33,4.12,51.43,0.94,0.47,0.68,24.26,0.26,1.44,36.57,82.77,10.69,66.39,6.3,96.26,13.98,89.26,32.41,87.38,3.42,50,19.2,27.02,0.13,0.97,0.06,0,0.56,36.84,0.15,6.18,74.76,1.47,42,0.71,25,0.44,0.24,5.39,72.13,0,,0,,0,0,0,0,,,0.44,,,1.27,0.26,33.33,2.09,0,0
C. Nørgaard,Brentford,Brentford,"DMF, CB",29,14000000,2025-06-30,18,1492,0,1.28,0,0.83,17.25,56.99,Denmark,Denmark,right,187,77,no,10.38,7.54,67.2,2.96,51.02,0.54,0.83,0.18,4.77,7.31,1.09,3,0.18,0,0,1.45,0,0,0,0.08,0,0,16,0.97,12.5,0,0,0.24,75,0.12,50,0.12,100,0.06,1.03,76.47,2.17,52.78,1.03,1.39,0.24,31.85,0.12,0.72,51.03,87.71,20.03,78.31,4.58,98.68,20.81,94.49,46.09,89.66,4.71,69.23,19.62,36.87,0.05,0.54,0.12,0,0.42,85.71,0.06,7.78,79.07,1.33,50,0.48,62.5,0.72,0.18,11.52,79.06,0,,0,,0,0,0,0,,,1.03,,,0.12,0,0,0.06,0,0
M. Jensen,Brentford,Brentford,"LCMF, RCMF, DMF",27,14000000,2026-06-30,48,3687,2,2.84,7,6.52,15.6,45.38,Denmark,Denmark,right,180,68,no,8.06,6.98,59.79,1.1,31.11,0.05,0.08,0.1,3.83,5.95,0.78,2,0.05,0,0,2.12,0.05,2,0.05,0.07,0,0,40,0.98,35,5,0.17,1.59,35.38,0.68,35.71,0.9,35.14,0.17,1.71,48.57,4.81,31.98,0.78,1.51,0.46,27.9,0.41,0.37,40.98,78.62,14.55,65.27,5.88,92.53,15.18,85.05,32.73,85.01,6.79,57.55,22.59,39.64,0.16,1.34,0.1,0.05,0.9,43.24,0.39,8.71,63.03,3.39,51.08,1.61,31.82,1.22,0.51,8.01,79.57,0,,0,,0,0,0,0,,,0.83,,,1.49,0.15,50,2.56,0,0
L. Cook,Bournemouth,Bournemouth,"DMF, RCMF",25,10000000,2025-06-30,31,2688,1,0.93,1,2.02,17.91,45.79,England,England,right,175,71,no,7.53,6.43,48.44,1.81,46.3,0.77,1.23,0.13,3.65,5.83,1.41,5,0.17,0,0,1.88,0.03,1,0.03,0.03,0,0,25,0.84,16,4,0.03,0.77,39.13,0.33,40,0.4,33.33,0.07,1.98,62.71,5.86,45.14,0.3,1,1.14,31,0.17,1.04,47.18,85.31,15.67,71.37,6.83,96.57,18.08,91.85,42.05,89.25,4.42,54.55,19.17,38.16,0.07,0.47,0.1,0.03,0.6,33.33,0.17,8.5,73.62,2.24,47.76,1.54,28.26,0.77,0.3,8.1,81.82,0,,0,,0,0,0,0,,,0.33,,,0.4,0.03,0,0.1,0,0
J. Dasilva,Brentford,Brentford,"RCMF, LCMF",24,9000000,2024-06-30,30,2275,5,3.08,3,2.27,17.64,50.45,England,"England, Angola",left,184,75,no,4.98,3.56,64.44,1.5,31.58,0.12,0.19,0.08,2.57,4.05,0.55,2,0.08,0,0,5.06,0.2,5,0.2,0.12,0,0,35,1.38,34.29,14.286,0.12,1.46,43.24,0.55,50,0.91,39.13,0.16,5.58,65.25,10.92,51.45,1.66,3.52,1.94,31.61,0.59,1.46,41.58,87.73,9.69,77.55,9.57,95.04,16.85,93.43,37.94,90.82,2.22,64.29,18.69,30.57,0.09,0.83,0.04,0,0.79,40,0.55,5.3,76.12,2.02,58.82,0.79,25,1.07,0.71,6.33,77.5,0,,0,,0,0,0,0,,,1.35,,,0,0,0,0,0,0
