Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Williams,Nottingham Forest,Fulham,RB,21,18000000,2026-06-30,14,1261,2,0.91,2,1.25,22.7,50.63,Wales,Wales,right,183,72,no,10.71,8.42,60.17,2.85,52.5,0.57,0.96,0.29,5.07,8.49,0.93,2,0.14,0,0,4.64,0.14,2,0.14,0.07,0,0,17,1.21,35.29,11.765,0.14,5.35,30.67,0.07,0,5.21,30.14,0.5,4.92,49.28,7.92,44.14,1.07,3.85,1.36,48.18,1.36,0.71,59.24,81.08,20.34,70.88,8.49,100,21.98,83.44,48.03,91.23,6.21,44.83,20.81,44.36,0.09,0.93,0,0,0.57,25,0.64,8.99,64.29,5.78,38.27,1.5,28.57,0.79,1.5,10.35,75.86,0,,0,,0,0,0,0,,,0.57,,,0,0,0,0,0,0
D. Spence,Rennes,Nottingham Forest,"RWB, RB",22,13000000,2027-06-30,45,4262,2,1.67,4,4.76,22.19,48.81,England,"England, Jamaica",right,184,71,yes,9.29,5.98,63.96,2.13,50.5,0.21,0.3,0.23,5.26,7.46,0.76,5,0.11,0,0,4.54,0.04,2,0.04,0.04,0,0,26,0.55,30.77,7.692,0.08,2.47,34.19,0.02,0,2.43,34.78,0.25,6.17,53.42,11.59,42.08,1.56,4.03,2.03,22.02,1.48,1.2,32.56,77.69,10.39,61.59,8.38,94.71,6.97,82.12,27.35,85.48,2.94,38.13,18.63,33.66,0.1,0.72,0.04,0,0.51,45.83,0.49,3.93,53.76,2.2,55.77,0.63,30,0.72,0.78,6,67.25,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0.06,0,0
A. Robinson,Fulham,Fulham,LB,25,12000000,2024-06-30,36,3264,2,0.54,4,4.5,18.67,52.44,England,"England, United States",left,183,70,no,9.24,6.18,65.63,3.12,48.67,0.11,0.18,0.06,5.07,8.41,0.58,6,0.17,0,0,3.67,0.06,2,0.06,0.01,0,0,10,0.28,20,20,0.11,4.41,40,4.41,40,0,0,0.36,2.87,60.58,6.15,44.84,0.97,4,2.54,42.79,1.93,0.5,57.63,81.2,19.6,72.15,10.15,96.2,20.27,84.35,48.81,87.8,4.55,49.09,19.94,36.57,0.12,1.13,0.03,0.03,0.39,28.57,0.8,7.67,75.9,4.3,52.56,0.39,28.57,0.94,1.65,14.01,75.39,0,,0,,0,0,0,0,,,0.85,,,0,0,0,0,0,0
I. Maatsen,Burnley,Coventry City,LWB,21,9000000,2024-06-30,40,3412,3,3.28,1,2.54,21.44,45.39,Netherlands,"Netherlands, Suriname",left,167,57,yes,9.26,9.07,55.81,2.48,39.36,0.29,0.4,0.05,3.9,5.33,1.48,10,0.26,0,0,2.95,0.08,3,0.08,0.09,0,0,48,1.27,22.92,6.25,0.03,3.48,21.21,3.27,21.77,0.21,12.5,0.4,3.67,44.6,6.7,38.98,2.16,1.64,0.69,28.7,1.85,0.82,38.17,73.81,12.19,60.39,7.49,94.01,11.98,76.65,30.7,83.16,4.14,46.5,20.55,36.39,0.07,0.87,0.03,0,0.58,50,0.4,4.51,60.82,3.01,42.98,0.76,31.03,0.82,0.76,8.57,71.38,0,,0,,0,0,0,0,,,0.53,,,0.34,0.03,100,0.79,0,0
K. Tete,Fulham,Fulham,RB,27,7000000,2024-06-30,20,1461,2,0.58,1,3.06,21.01,53.67,Netherlands,"Netherlands, Mozambique",right,180,71,no,9.73,7.08,68.7,3.2,44.23,0.92,1.57,0.12,3.94,6.69,1.05,1,0.06,0,0,3.76,0.12,2,0.12,0.04,1,0.06,7,0.43,57.14,28.571,0.06,3.82,48.39,0,0,3.82,48.39,0.68,2.77,51.11,6.96,46.9,0.99,1.79,0.68,45.15,1.6,0.99,59.45,84.87,21.62,77.21,9.18,94.63,18.48,87.33,51.25,90.75,4.44,48.61,17.62,28.17,0.19,0.99,0.18,0.12,0.49,50,0.74,6.9,75.89,4.31,57.14,0.68,63.64,0.92,1.79,11.7,70,0,,0,,0,0,0,0,,,1.29,,,0,0,0,0,0,0
A. Scott,Bristol City,Bristol City,"RWB, LCMF",19,7000000,2025-06-30,38,2966,4,3.2,1,3.73,21.91,50.14,Guernsey,"Guernsey, England",right,178,69,no,10.83,7.98,57.41,2.43,33.75,0.91,1.16,0.49,5.34,6.82,1.15,12,0.36,0,0,2.79,0.12,4,0.12,0.1,0,0,21,0.64,38.1,19.048,0.03,1.46,41.67,0.49,50,0.97,37.5,0.21,3.58,51.69,7.71,51.57,1.12,0.7,0.46,16.17,0.3,2.18,26.76,77.1,7.89,58.85,6.31,94.71,8.47,81.72,22.21,83.74,3.22,46.23,18.82,33.29,0.11,0.85,0.06,0.03,0.33,27.27,0.24,4.07,58.96,1.73,40.35,0.64,33.33,0.52,0.61,4.7,67.74,0,,0,,0,0,0,0,,,0.61,,,1.15,0,0,2,0,0
R. Giles,Middlesbrough,Blackburn Rovers,"LWB, CF",23,6000000,2025-06-30,32,2678,0,2.17,9,8.93,14.08,52.51,England,England,left,179,72,yes,3.46,2.62,71.79,0.74,50,0,0,0.03,1.58,2.15,0.34,2,0.07,0,0,6.92,0,0,0,0.07,0,0,18,0.6,50,0,0.3,8.4,34,5.65,32.14,2.72,38.27,1.18,6.15,59.56,8.94,50.38,1.48,2.49,1.88,18.48,1.68,0.64,28.94,64.23,7.39,60.91,5.48,93.87,11.46,56.6,17.64,81.14,3.46,46.6,23.8,31.7,0.3,1.95,0,0,0.34,30,0.74,2.55,56.58,6.25,45.16,0.47,28.57,0.34,2.99,7.02,71.29,0,,0,,0,0,0,0,,,0.3,,,0.54,0.03,0,2.65,0,0
E. Laird,Queens Park Rangers,Bournemouth,"RWB, RB",21,5000000,2023-06-30,26,2161,0,1.21,3,3.19,25.03,44.93,England,"England, Jamaica",right,177,70,yes,6.21,4.87,62.39,3.87,32.26,0.46,0.8,0.08,2.71,4.73,0.67,1,0.04,0,0,5.08,0,0,0,0.05,0,0,14,0.58,21.43,0,0.12,2.75,31.82,0,0,2.75,31.82,0.25,7.7,51.89,13.33,44.69,2.29,2.75,1.04,21.91,2.21,2.33,27.95,78.24,6,68.75,8.45,93.1,7.95,72.77,24.36,84.62,0.96,43.48,16.56,14.31,0.13,0.87,0.08,0.04,0.17,50,0.67,2.17,57.69,2.12,45.1,0.17,25,0.79,0.83,3.37,66.67,0,,0,,0,0,0,0,,,0.21,,,0,0,0,0,0,0
S. Thomas,Blackburn Rovers,Huddersfield Town,"RWB, RW, RB",24,5000000,2026-06-30,46,4035,3,1.98,10,15.74,18.62,40.84,England,"England, Wales",right,185,75,yes,4.08,4.33,45.88,2.14,22.92,0.04,0.06,0.04,2.05,2.62,0.85,10,0.22,0,0,4.59,0.07,3,0.07,0.04,0,0,36,0.8,27.78,8.333,0.22,4.26,32.46,0.31,35.71,3.93,32.39,0.62,4.68,61.43,9.28,45.67,1.36,2.05,1.27,17.2,1.92,1.18,23.84,68.29,5.73,57.59,5.13,95.22,8.32,64.61,17.64,79.01,2.23,47,19.57,30.52,0.35,2.12,0.09,0,0.4,27.78,0.49,2.61,54.7,3.86,42.2,0.51,30.43,0.69,1.45,5,77.23,0,,0,,0,0,0,0,,,0.2,,,1.78,0.09,25,3.08,0,0
J. Bogle,Sheffield United,Sheffield United,"RWB, RB",22,4000000,2024-06-30,18,1587,3,2.02,1,1.35,20.36,47.08,England,England,right,178,69,no,8.34,7.43,53.44,3.12,45.45,0.17,0.25,0.11,4.2,6.24,1.47,5,0.28,0,0,3.46,0.17,3,0.17,0.11,0,0,19,1.08,52.63,15.789,0.06,3.12,25.45,0.06,0,3.06,25.93,0.45,3.63,48.44,6.75,40.34,2.33,2.04,0.17,28.92,2.72,0.74,38.45,79.06,10.95,67.88,7.88,94.24,12.19,79.53,31.87,88.26,3.63,42.19,18.22,33.63,0.08,0.85,0.06,0.06,1.02,33.33,0.4,3.35,52.54,4.31,50,1.36,25,1.7,0.85,7.49,81.82,0,,0,,0,0,0,0,,,0.45,,,0,0,0,0,0,0
J. Zemura,Bournemouth,Bournemouth,LB,23,4000000,2023-06-30,33,3144,3,2.14,1,2.61,20.93,47.33,England,"England, Zimbabwe",left,173,67,no,8.42,6.67,56.22,3.38,48.31,0.4,0.67,0.31,4.27,7.13,1.26,7,0.2,0,0,2.78,0.09,3,0.09,0.06,0,0,21,0.6,28.57,14.286,0.03,1.89,24.24,1.86,24.62,0,0,0.34,3.38,59.32,7.24,45.85,2.2,3.15,1.12,35.95,1.12,1.52,46.89,80.46,19.69,70.93,8.42,96.26,10.71,85.83,41.02,87.65,4.09,32.87,17.17,34.51,0.07,0.66,0.03,0.06,0.52,27.78,0.29,5.95,70.19,2.29,48.75,0.63,9.09,0.97,0.43,8.19,63.99,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0.03,0,0
D. O'Shea,West Bromwich Albion,West Bromwich Albion,"RB, RCB, LCB",23,4000000,2025-06-30,14,1150,2,0.87,0,0.39,20.03,61.33,Republic of Ireland,Republic of Ireland,right,188,74,no,9.55,7.12,65.93,6.97,68.54,0.47,0.61,0.39,4.38,5.68,0.94,2,0.16,0,0,0.86,0.16,2,0.16,0.07,1,0.08,4,0.31,50,50,0,1.1,21.43,0.23,0,0.86,27.27,0.16,0.78,60,2.03,38.46,0.55,0.23,0.16,18.16,0.47,0.39,34.04,74.25,15.65,63.5,3.21,100,11.66,83.22,26.45,82.84,6.57,47.62,24,38.87,0.03,0.31,0,0,0,0,0.47,6.73,52.33,1.64,28.57,0.39,40,0.39,0.23,8.61,72.73,0,,0,,0,0,0,0,,,1.02,,,0,0,0,0,0,0
H. Wolf,Borussia M'gladbach,Swansea City,"LWB, AMF",23,4000000,2024-06-30,19,1662,2,2.29,3,2.4,24.37,40.67,Austria,Austria,left,179,71,no,7.58,8.72,54.66,2,27.03,0.11,0.18,0,2.71,4.44,1.52,5,0.27,0,0,3.36,0.11,2,0.11,0.12,1,0.05,26,1.41,38.46,7.692,0.16,1.73,28.13,1.62,26.67,0.05,100,0.11,5.14,44.21,10.18,34.57,3.3,2.6,1.03,22.36,1.79,0.7,30.65,81.98,6.12,65.49,10.02,97.84,7.74,76.92,27.78,87.52,1.3,29.17,15.78,33.26,0.13,1.14,0,0.11,0.38,14.29,0.6,2.06,63.16,1.95,61.11,0.32,0,1.35,0.49,3.52,69.23,0,,0,,0,0,0,0,,,0.16,,,0.05,0,0,0.32,0,0
