Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Sarr,Watford,Watford,"LAMF, RAMF, CF",25,22000000,2024-06-30,31,2833,9,10.17,4,3.68,19.7,38.87,Senegal,Senegal,right,185,76,no,4,3.11,61.22,2.76,27.59,0.06,0.09,0.16,2.03,3.01,0.38,0,0,0,0,4.67,0.29,8,0.25,0.32,2,0.06,62,1.97,38.71,14.516,0.13,2.13,34.33,0.89,42.86,1.21,28.95,0.25,5.72,51.67,11.09,40.11,3.72,2.29,1.02,15.19,1.43,1.94,20.87,78.08,4.1,75.19,5.65,89.33,6.26,76.14,18.3,83.85,0.73,52.17,16.27,23.53,0.12,0.67,0.06,0,0.35,63.64,0.44,1.21,76.32,1.75,65.45,0.35,45.45,1.11,0.64,2.51,74.68,0,,0,,0,0,0,0,,,0,,,0,0,0,0.16,2,50
B. Brereton Díaz,Blackburn Rovers,Blackburn Rovers,"LAMF, LW, CF",23,16000000,2023-06-30,34,2988,12,9.93,3,3.13,16.72,34.05,England,"England, Chile",right,185,80,no,3.67,3.25,53.7,2.05,26.47,0.09,0.12,0.12,1.84,2.35,0.6,5,0.15,0,0,2.98,0.36,11,0.33,0.3,1,0.03,84,2.53,40.48,14.286,0.09,0.75,36,0.54,38.89,0.21,28.57,0.03,3.1,49.51,8.95,32.66,3.22,1.99,1.17,18.04,2.98,0.75,22.41,78.36,4.43,63.27,5.99,90.95,7.23,79.17,20.33,81.93,1.39,47.83,16.45,32.74,0.09,0.69,0,0,0.42,35.71,0.48,1.66,50.91,1.36,46.67,0.54,27.78,0.78,0.27,3.16,59.05,0,,0,,0,0,0,0,,,0.03,,,0.12,0.12,75,0.03,1,100
Marquinhos,Norwich City,Norwich City,"RAMF, LW",19,10000000,2027-06-30,5,236,1,0.56,0,0.02,22.88,30,Brazil,Brazil,left,174,77,yes,6.1,3.81,60,5.72,20,0,0,0,3.81,8.57,1.91,0,0,1,0.38,2.67,0.38,1,0.38,0.21,0,0,5,1.91,40,20,0,1.53,25,0,0,1.53,25,0,3.05,37.5,10.68,25,2.67,1.14,0.38,15.25,1.53,1.14,25.17,78.79,3.81,60,8.77,91.3,6.48,58.82,22.12,87.93,1.53,0,13,18.78,0.01,0.76,0,0,0.38,100,0,1.53,25,3.05,25,1.53,25,0.38,0.38,1.91,60,0,,0,,0,0,0,0,,,0.38,,,0,0,0,0,0,0
T. Cantwell,Rangers,Norwich City,"LAMF, LWF, AMF",24,8000000,2023-06-30,18,967,0,1.38,0,1.75,15.45,48.8,England,England,right,177,70,no,6.7,5.31,56.14,0.93,20,0.56,0.87,0.09,3.16,4.95,0.93,2,0.19,0,0,2.61,0,0,0,0.13,0,0,13,1.21,38.46,0,0,1.68,33.33,0.84,33.33,0.84,33.33,0,1.58,76.47,7.17,45.45,1.95,1.68,1.02,29.32,1.12,1.95,38.9,82.3,9.87,66.04,10.42,95.54,11.63,82.4,33.97,87.12,3.54,55.26,18.12,28.01,0.16,1.68,0,0,1.21,30.77,0.56,3.63,64.1,3.16,58.82,2.05,27.27,1.4,0.47,5.4,74.14,0,,0,,0,0,0,0,,,0.19,,,0.93,0,0,4.47,0,0
M. Rashica,Galatasaray,Norwich City,"RWF, LAMF",26,7000000,2025-06-30,4,238,0,0.34,1,0.28,17.77,48.94,Kosovo,"Kosovo, Albania",right,177,73,yes,3.4,3.4,66.67,0,0,0,0,0.38,1.13,2.05,0,0,0,0,0,3.4,0,0,0,0.13,0,0,3,1.13,66.67,0,0.38,3.78,0,0.38,0,3.4,0,0,4.92,38.46,12.86,44.12,3.4,1.51,1.13,20.8,2.27,2.65,27.61,65.75,6.05,56.25,6.43,88.24,8.32,68.18,21.55,80.7,2.27,33.33,25.7,28.96,0.11,1.51,0,0,1.51,50,0.38,4.16,63.64,2.65,42.86,1.51,25,1.13,0,1.89,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0.38,0,0
Matheus Martins,Watford,Watford,"RAMF, RW",19,7000000,2023-06-30,6,386,0,0.81,1,0.86,25.65,34.55,Brazil,Brazil,right,179,77,yes,4.9,5.13,31.82,2.56,27.27,0.47,0.71,0,2.8,4.29,1.17,1,0.23,0,0,3.26,0,0,0,0.19,0,0,7,1.63,28.57,0,0.23,2.56,18.18,0.7,33.33,1.87,12.5,0.47,5.13,45.45,15.62,38.81,4.66,3.26,1.17,14.22,2.56,2.1,20.75,68.54,5.36,56.52,3.96,88.24,5.83,68,17.72,76.32,0.7,66.67,17.23,14.56,0.2,1.87,0,0.23,0.23,0,0.23,2.33,40,3.26,50,0.23,100,2.1,0.23,2.56,63.64,0,,0,,0,0,0,0,,,0,,,1.63,0,0,3.73,0,0
C. Tzolis,Norwich City,Norwich City,"LW, LAMF, RCMF",21,7000000,2026-06-30,8,211,1,0.31,0,0.42,17.91,45.24,Greece,Greece,right,179,73,no,8.53,6.82,75,2.99,14.29,0,0,0,3.41,5.33,0.43,0,0,0,0,2.13,0.43,1,0.43,0.13,0,0,4,1.71,50,25,0,1.28,33.33,0.43,0,0.85,50,0,0.43,100,5.12,25,2.99,0.85,0.85,15.36,1.71,0.43,26.02,68.85,6.82,50,5.12,100,8.53,55,23.89,71.43,0.85,50,14.7,5.71,0.18,1.28,0,0,1.28,33.33,0.43,2.13,40,3.41,37.5,1.28,33.33,0.85,0.43,4.27,30,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Willock,Queens Park Rangers,Queens Park Rangers,"LWF, LAMF, RWF",25,6000000,2023-06-30,23,1533,6,2.64,1,1.96,30.41,37.64,England,"England, Montserrat",right,178,67,no,3.29,3.23,52.73,1.94,9.09,0.06,0.08,0.06,1.53,2.15,0.88,0,0,0,0,6.69,0.35,6,0.35,0.16,0,0,42,2.47,28.57,14.286,0.06,3.35,29.82,2.58,31.82,0.76,23.08,0.76,8.04,58.39,21.14,39.72,3.35,2.88,0.82,21.19,0.88,1.41,33.29,79.01,6.69,69.3,8.1,92.03,10.22,74.14,28.59,86.45,1.47,44,15.51,22.47,0.11,1.06,0.23,0.06,0.82,35.71,0.41,2.99,64.71,3.17,50,1,23.53,0.94,0.88,3.35,85.96,0,,0,,0,0,0,0,,,0.06,,,0.12,0.06,100,0.12,0,0
G. Diangana,West Bromwich Albion,West Bromwich Albion,"LAMF, LW",24,6000000,2025-06-30,31,2110,4,5.6,2,4.07,27.3,41.72,England,"England, Congo DR",left,180,73,no,7.12,6.01,55.32,3.2,25.33,0.3,0.45,0.09,3.5,5.3,0.98,3,0.13,0,0,4.69,0.17,4,0.17,0.24,0,0,42,1.79,26.19,9.524,0.09,2.13,30,1.66,28.21,0.47,36.36,0.3,6.4,52.67,14.29,42.09,3.58,2.43,0.94,24.82,1.15,2.39,34.81,80.27,9.81,71.74,7.85,92.93,8.23,78.76,31.73,84.54,1.02,45.83,15,19.4,0.17,1.54,0.09,0.04,0.9,23.81,0.73,3.5,73.17,3.2,58.67,0.85,25,1.71,0.6,4.95,89.66,0,,0,,0,0,0,0,,,0,,,0.13,0,0,0.94,0,0
S. Thomas,Blackburn Rovers,Blackburn Rovers,"RW, RAMF, RWB",24,5000000,2026-06-30,32,2705,0,2.18,6,5.59,19.23,39.27,England,"England, Wales",right,185,75,yes,4.39,4.56,50.36,1.83,16.36,0.13,0.16,0.07,1.96,2.43,1.03,9,0.3,0,0,4.46,0,0,0,0.07,0,0,24,0.8,33.33,0,0.2,5.26,31.65,1.43,32.56,3.83,31.3,0.77,4.72,50.7,9.45,41.55,1.5,1.4,0.73,16.7,2.46,1.46,23.66,63.01,6.32,58.42,4.43,89.47,9.05,56.25,15.94,74.95,2.89,51.72,21.46,35.95,0.19,1.56,0.03,0.1,0.53,25,0.37,2.79,58.33,5.06,40.79,0.9,25.93,0.6,1.53,5.52,78.92,0,,0,,0,0,0,0,,,0,,,2,0.1,33.33,3.99,0,0
