Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Parrott,Preston North End,Ipswich Town,"CF, AMF",21,4000000,2025-06-30,18,1211,2,2.78,0,0.51,30.92,35.34,Republic of Ireland,Republic of Ireland,right,185,78,yes,6.69,6.54,64.77,4.16,19.64,0.15,0.2,0.15,2.3,3.13,1.64,0,0,0,0,2.16,0.15,2,0.15,0.21,0,0,22,1.64,31.82,9.091,0,0.67,0,0.3,0,0.37,0,0.07,3.64,40.82,13.67,28.8,2.08,1.49,1.04,16.5,2.45,2.38,24.38,72.87,5.13,46.38,6.84,85.87,7.65,77.67,22.37,76.74,1.34,44.44,16.91,25.56,0.04,0.37,0,0,0.45,33.33,0.22,1.93,61.54,1.64,31.82,0.37,20,0.59,0,2.16,65.52,0,,0,,0,0,0,0,,,0,,,0.15,0.07,0,0,0,0
E. Simms,Everton,Blackpool,CF,22,4000000,2024-06-30,23,1622,10,9.38,0,0.59,30.85,30.76,England,"England, Poland",right,191,77,no,3,2.72,55.1,10.04,33.15,0,0,0.17,1.5,2.06,1.72,1,0.06,0,0,2.83,0.55,10,0.55,0.52,2,0.11,49,2.72,51.02,20.408,0,0.33,0,0.06,0,0.28,0,0.06,2.11,60.53,11.76,25.47,3.88,0.67,0.33,9.49,2.16,0.55,14.7,71.7,2.94,60.38,3.22,79.31,4.61,78.31,13.93,73.31,0.44,75,14,8.18,0.03,0.55,0.11,0,0.22,75,0.17,1.22,54.55,0.89,56.25,0.22,75,0.61,0,1.33,79.17,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Stewart,Sunderland,Sunderland,CF,26,3500000,2023-06-30,13,532,3,1.85,0,0.81,34.34,44.33,Scotland,Scotland,right,188,85,no,7.11,5.75,61.76,15.56,52.17,1.02,1.76,0.17,2.54,4.41,2.2,1,0.17,0,0,2.03,0.51,3,0.51,0.31,1,0.17,13,2.2,46.15,23.077,0,1.02,16.67,0.51,33.33,0.34,0,0.17,1.35,50,5.92,28.57,5.58,0.51,0.34,10.15,2.88,0.85,18.1,78.5,3.38,65,5.41,93.75,5.58,75.76,16.75,82.83,0.34,50,14.31,7.43,0.14,0.85,0,0,0.34,50,0.51,1.18,28.57,1.52,22.22,0.34,50,1.35,0.17,1.52,77.78,0,,0,,0,0,0,0,,,0,,,0,0,0,0.17,0,0
J. Yates,Blackpool,Blackpool,CF,26,3500000,2024-06-30,47,4069,21,19.97,7,5.56,26.98,29.43,England,England,right,175,68,no,3.14,3.58,54.32,6.24,27.66,0.02,0.03,0.07,1.17,1.56,1.7,4,0.09,0,0,2.26,0.46,15,0.33,0.44,0,0,84,1.86,38.1,25,0.15,0.51,30.43,0.27,16.67,0.22,50,0.09,2.06,47.31,9.67,26.77,3.27,1.17,0.69,11.7,1.68,0.73,17.32,79.57,4.09,72.43,4.87,89.55,4.11,73.66,16.61,81.23,0.2,66.67,14.51,8.76,0.12,0.77,0.04,0,0.71,59.38,0.51,1.68,67.11,1.15,55.77,0.51,52.17,1.06,0.15,1.95,77.27,0,,0,,0,0,0,0,,,0,,,0,0,0,0,6,100
C. Morris,Luton Town,Milton Keynes Dons,CF,27,2800000,2023-06-30,18,1458,3,3.93,0,1.41,28.15,41.01,England,England,right,185,85,no,2.9,2.78,55.56,7.22,48.72,0.12,0.24,0.12,1.23,2.35,1.17,2,0.12,0,0,3.58,0.19,3,0.19,0.24,0,0,27,1.67,33.33,11.111,0,1.3,14.29,0.99,12.5,0.31,20,0.12,4.01,64.62,14.01,39.21,4.63,1.79,0.86,16.42,1.42,1.11,25.93,80.24,5.25,75.29,6.6,90.65,8.02,78.46,24.38,84.56,0.25,0,16.04,8.81,0.09,0.93,0.06,0,0.49,50,0.12,1.54,76,1.54,64,0.43,57.14,1.48,0.12,1.98,71.88,0,,0,,0,0,0,0,,,0,,,0.06,0.06,0,0,0,0
S. Dembélé,Auxerre,Peterborough United,"CF, LAMF, LW",26,2500000,2025-06-30,42,3623,11,9.76,7,6.78,32.24,37.83,Côte d'Ivoire,"Côte d'Ivoire, Scotland",right,173,67,yes,4.67,5.39,48.39,1.44,13.79,0.17,0.25,0,1.89,2.73,1.61,7,0.17,0,0,6.36,0.27,11,0.27,0.24,0,0,77,1.91,46.75,14.286,0.17,0.47,42.11,0.25,30,0.2,62.5,0.12,9.17,50.14,20.89,38.41,3.11,3.33,2.29,12.92,1.19,2.71,22.38,79.02,6.16,70.16,5.12,87.86,6.21,82.8,21.09,80.57,0.82,60.61,14.59,17.45,0.17,1.27,0.1,0.02,1.57,42.86,0.75,2.73,76.36,1.91,54.55,1.34,38.89,1.52,0.2,3.11,81.6,0,,0,,0,0,0,0,,,0.02,,,0.07,0.02,0,0.12,0,0
R. Longman,Hull City,AFC Wimbledon,"CF, LAMF, RAMF",22,1500000,2025-06-30,44,3428,8,11.12,2,5.71,23.52,40.63,England,England,right,180,68,no,4.57,4.62,61.93,4.44,27.81,0.08,0.1,0.05,1.63,2.06,1.02,1,0.03,0,0,4.67,0.21,8,0.21,0.29,0,0,85,2.23,41.18,9.412,0.05,2.02,28.57,0.53,40,1.44,25.45,0.42,5.22,59.3,10.74,41.81,3.86,1.94,1.92,11.89,2.18,0.37,20.53,74.42,3.12,52.1,5.49,92.82,7.35,72.5,17.51,81.41,1.18,42.22,17.83,25.67,0.15,1.1,0,0,0.37,21.43,0.47,1.42,42.59,1.97,45.33,0.47,22.22,0.89,0.55,2.07,77.22,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Clarke-Harris,Peterborough United,Peterborough United,CF,28,1200000,2024-06-30,45,4198,31,29.84,2,4.86,31.71,38.88,England,"England, Jamaica",left,183,78,no,3.11,2.51,47.01,12.65,40.85,0.17,0.25,0.09,1.76,2.52,1.65,4,0.09,0,0,2.23,0.66,24,0.51,0.64,6,0.13,124,2.66,46.77,25,0.04,0.19,22.22,0.11,0,0.09,50,0.04,1.33,50,8.19,35.6,3,0.6,0.39,10.89,2.94,1.91,16.34,66.93,4.44,51.69,2.89,77.78,5.34,71.49,15.41,68.01,0.73,55.88,15.95,20.09,0.1,0.69,0.06,0,0.62,44.83,0.39,2.32,47.22,1.16,48.15,0.69,43.75,0.79,0.04,2.32,73.15,0,,0,,0,0,0,0,,,0,,,0.34,0.34,37.5,0,10,70
J. Stockley,Fleetwood Town,Charlton Athletic,CF,29,900000,2025-06-30,22,1855,8,7.16,2,1.06,37.94,40.92,England,England,right,188,79,no,2.96,1.75,58.33,18.05,47.85,0.15,0.21,0.24,1.8,2.57,1.6,2,0.1,0,0,1.26,0.39,8,0.39,0.35,7,0.34,41,1.99,46.34,19.512,0.1,0.53,18.18,0.05,0,0.44,11.11,0.05,0.78,31.25,5.48,24.78,3.2,0.1,0.05,9.12,3.2,1.36,16.93,66.48,4.27,45.45,3.88,86.25,4.75,67.35,15.23,69.11,1.26,50,15.63,26.01,0.05,0.44,0.1,0,0.1,0,0.29,2.81,53.45,0.53,45.45,0.1,0,0.63,0.05,1.55,68.75,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0,1,0
M. Bonne,Queens Park Rangers,Charlton Athletic,CF,27,800000,2023-06-30,3,295,0,0.87,0,0.23,29.59,37.11,England,"England, Zimbabwe",right,180,76,no,3.05,3.36,54.55,16.17,37.74,0,0,0,1.22,1.64,1.83,0,0,0,0,0.61,0,0,0,0.26,0,0,4,1.22,0,0,0,0.61,0,0.31,0,0.31,0,0.31,0.92,33.33,5.19,23.53,3.05,0.31,0,12.81,3.05,0.61,19.22,74.6,5.49,72.22,6.71,95.45,3.05,50,18.61,77.05,0,0,12.81,0,0.07,0.92,0.31,0,0.61,50,0.31,3.05,50,0.61,0,0.61,50,0.61,0,1.83,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
