Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Sibley,Derby County,Derby County,"LW, LCMF, LWF",22,2200000,2024-06-30,5,162,0,0.06,0,0.09,21.11,36.84,England,England,left,180,74,no,7.22,6.67,50,0.56,0,1.11,1.76,0,2.78,4.41,3.33,0,0,0,0,5,0,0,0,0.04,0,0,1,0.56,100,0,0,3.33,50,3.33,50,0,0,0.56,4.44,62.5,6.11,54.55,1.11,0,0.56,12.78,0.56,1.11,21.11,84.21,10,88.89,2.78,100,5.56,70,16.11,89.66,1.67,100,21.06,16.46,0.05,0.56,0,0,0.56,0,0,3.33,100,2.78,40,0.56,0,0,1.67,5.56,100,0,,0,,0,0,0,0,,,0,,,1.11,0,0,3.89,0,0
P. Mukairu,Reading,Reading,"LW, RWB",23,1500000,2025-12-31,7,226,0,0.17,0,0.24,31.06,46.15,Nigeria,Nigeria,right,182,78,yes,8.76,7.96,80,5.97,20,0,0,0,2.39,4.29,0.4,0,0,0,0,2.39,0,0,0,0.07,0,0,2,0.8,50,0,0,0.8,0,0.8,0,0,0,0,3.98,50,14.34,41.67,3.19,1.99,0.4,20.31,1.19,1.59,29.87,76,7.57,52.63,8.36,85.71,6.37,81.25,27.88,81.43,1.19,0,14.58,6.19,0.09,1.19,0,0,0,0,0,1.19,33.33,0.8,50,0,0,1.19,0,4.38,36.36,0,,0,,0,0,0,0,,,0,,,0,0,0,0.4,0,0
A. Collins,Bristol Rovers,Bristol Rovers,"LWF, LW, CF",26,900000,2025-06-30,11,1065,3,4.22,2,2.88,16.65,38.07,Wales,Wales,right,178,74,no,3.55,3.38,42.5,2.11,32,0,0,0.17,2.11,3.11,0.42,0,0,0,0,3.72,0.25,3,0.25,0.36,0,0,28,2.37,50,10.714,0.17,1.86,13.64,1.52,11.11,0.34,25,0.42,3.8,53.33,8.96,39.62,3.55,2.79,1.01,18.68,2.2,1.1,25.18,74.16,5.58,57.58,6.42,94.74,8.87,78.1,21.55,81.18,1.86,50,20.07,22.04,0.24,1.18,0.17,0.08,0.68,37.5,0.59,2.03,62.5,2.62,38.71,0.93,18.18,1.18,0.42,3.13,62.16,0,,0,,0,0,0,0,,,0.25,,,0.08,0,0,0.08,0,0
A. Devine,Port Vale,Port Vale,"RWF, AMF, CF",19,900000,2027-06-30,8,374,1,0.93,1,0.31,15.05,33.96,England,England,right,182,75,yes,6.81,5.39,63.16,2.56,0,0.28,0.38,0,3.12,4.18,1.14,1,0.24,0,0,2.84,0.24,0,0,0.26,0,0,7,1.99,42.86,14.286,0.28,2.56,22.22,0.57,0,1.99,28.57,0.57,2.27,37.5,5.11,16.67,2.56,1.42,1.7,19.87,1.7,0,31.51,79.28,6.81,79.17,8.8,93.55,9.37,75.76,28.39,84,0.85,100,20.52,13.15,0.09,0.85,0,0,1.14,50,0,2.27,87.5,2.27,75,0.85,66.67,1.7,0.57,4.83,70.59,0,,0,,0,0,0,0,,,1.99,,,1.14,0,0,1.42,1,100
J. Murphy,Oxford United,Oxford United,"LAMF, AMF, RW",28,900000,2024-06-30,3,91,0,0.05,1,0.18,28.13,40,England,England,right,173,67,no,11.25,5.63,66.67,1.88,0,0,0,0,7.5,8.57,0,0,0,0,0,11.25,0,0,0,0.09,0,0,1,1.88,100,0,1.88,3.75,50,1.88,0,1.88,100,0,11.25,66.67,16.88,44.44,1.88,1.88,0,9.38,0,3.75,16.88,66.67,3.75,50,5.63,100,5.63,66.67,13.13,71.43,0,0,20.63,0,0.34,1.88,0,0,1.88,0,1.88,3.75,50,3.75,0,1.88,0,0,1.88,3.75,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Poku,Peterborough United,Peterborough United,"RAMF, AMF",22,900000,2025-06-30,11,889,2,2.98,2,1.79,27.23,47.21,England,"England, Ghana",left,179,67,no,4.86,5.16,52.94,3.04,26.67,0,0,0.2,2.13,3.15,0.91,0,0,0,0,7.8,0.2,2,0.2,0.3,0,0,21,2.13,23.81,9.524,0.2,5.06,34,0.1,100,4.96,32.65,0.61,8,67.09,15.59,50.65,4.76,4.05,1.01,21.87,0.81,1.72,32.29,78.37,6.28,75.81,7.69,90.79,13.16,75.38,26.02,87.16,1.42,64.29,18.86,20.47,0.18,1.11,0.1,0,0.4,50,1.21,2.33,60.87,5.06,52,0.51,40,1.82,1.92,5.57,87.27,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0.1,0,0
T. John-Jules,Derby County,Derby County,"LW, CF",22,800000,,2,40,0,0,0,0,,,England,"England, Dominica",right,183,75,yes,,,,,,,0,,,11.25,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07,15.66,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
T. Barkhuizen,Derby County,Derby County,"LAMF, RW, CF",30,800000,2024-06-30,5,244,0,0.63,2,1.1,14.44,42.31,England,"England, South Africa",right,179,72,no,1.67,1.11,50,2.78,20,0,0,0,1.11,1.76,0,0,0,0,0,5.56,0,0,0,0.35,0,0,5,2.78,40,0,1.11,3.89,71.43,1.67,66.67,2.22,75,1.11,3.89,42.86,7.22,38.46,7.22,2.22,1.11,20.56,1.11,0,25.56,71.74,5,66.67,5,100,12.22,68.18,21.67,71.79,0,0,17.83,0,0.61,3.33,0,0,0.56,0,2.22,1.67,66.67,4.44,75,0.56,0,0.56,2.78,5,100,0,,0,,0,0,0,0,,,0,,,0.56,0,0,0,0,0
S. Humphrys,Wigan Athletic,Wigan Athletic,"RAMF, RW, LAMF",26,700000,2024-06-30,10,682,3,0.98,1,0.63,28.11,49.77,England,England,right,185,69,no,4.75,4.09,61.29,4.62,60,0.4,0.55,0.13,1.85,2.55,0.79,4,0.53,0,0,8.71,0.4,3,0.4,0.13,0,0,16,2.11,37.5,18.75,0.13,4.75,36.11,0.4,66.67,4.35,33.33,1.45,9.77,63.51,16.63,47.62,3.17,5.15,1.32,17.29,2.24,2.11,23.75,73.89,2.77,42.86,7.65,93.1,8.58,73.85,17.95,86.03,1.32,40,19.52,24.84,0.08,0.92,0,0,0.4,0,0.66,1.32,50,3.43,53.85,0.66,0,0.53,1.98,3.56,77.78,0,,0,,0,0,0,0,,,0.26,,,0.26,0.26,50,0.92,0,0
S. Tedić,Charlton Athletic,Charlton Athletic,"RAMF, RWF, RW",23,600000,2024-06-30,5,220,1,0.8,0,0.2,22.23,31.71,Montenegro,"Montenegro, Serbia",right,190,80,yes,7.05,4.34,75,5.96,27.27,0,0,0,3.8,6.18,0.54,3,1.23,0,0,1.63,0.41,1,0.54,0.44,0,0,4,2.17,75,25,0,0.54,0,0,0,0.54,0,0.54,0.54,0,5.42,20,3.8,0,0,8.67,2.71,1.08,11.39,66.67,3.8,57.14,2.71,100,1.63,0,10.84,70,0,0,13.28,0,0.11,1.08,0,0,0,0,0.54,0.54,100,0,0,0,0,0.54,0,1.08,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
