Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Welch,Forest Green Rovers,Forest Green Rovers,"LCB, RCB",20,500000,2026-06-30,14,1268,0,0.48,1,0.01,17.46,59.76,England,"England, Jamaica",right,196,94,yes,11.36,7.59,71.03,4.9,56.52,0.35,0.47,0.85,5.61,7.45,0.64,2,0.14,0,0,0.64,0,0,0,0.03,0,0,2,0.14,100,0,0.07,0.07,100,0.07,100,0,0,0.07,0.43,100,2.13,50,0.28,0.21,0,27.89,0.07,0.43,44.36,84.32,21.15,73.15,2.13,96.67,15.9,96.43,37.26,90.48,7.03,51.52,20.71,39.01,0,0.07,0,0.07,0,0,0.07,5.68,60,0.43,0,0.21,66.67,0.07,0.07,9.51,64.18,0,,0,,0,0,0,0,,,1.49,,,0,0,0,0,0,0
J. Tucker,Milton Keynes Dons,Milton Keynes Dons,CB,24,450000,,12,1141,0,0.48,0,0.12,17.12,66.82,England,England,right,192,85,no,11.91,7.41,75.53,5.05,67.19,0.32,0.37,0.39,5.99,7.08,0.39,0,0,0,0,0.16,0,0,0,0.04,0,0,3,0.24,33.33,0,0,0.08,0,0.08,0,0,0,0,0.24,33.33,1.5,31.58,0.39,0,0.08,30.45,0,0.63,53.01,77.83,26.11,61.03,2.05,96.15,21.77,94.93,37.94,88.77,14.99,50.53,28.18,44.26,0.01,0.08,0,0,0,0,0.08,8.28,46.67,0.95,8.33,1.5,31.58,0.16,0,13.8,62.29,0,,0,,0,0,0,0,,,1.5,,,0.08,0,0,0,0,0
A. Flint,Mansfield Town,Mansfield Town,"RCB, LCB",34,450000,,17,1631,2,3.23,0,1.41,20.09,64.84,England,England,right,197,83,no,9.05,4.75,73.26,9.33,62.72,0.33,0.46,1.1,5.24,7.27,0.55,0,0,0,0,0.72,0.11,2,0.11,0.18,0,0,14,0.77,21.43,14.286,0,0.88,25,0.11,50,0.77,21.43,0.17,0.39,71.43,1.1,65,1.71,1.16,0.11,30.68,0.72,0.77,49.06,78.63,24.72,66.96,2.04,97.3,19.09,92.77,38.35,85.47,9.93,56.11,25.99,46.78,0.08,0.39,0,0,0.17,33.33,0.17,9.66,57.71,2.26,21.95,0.99,22.22,0.61,0.22,12.64,75.98,0,,0,,0,0,0,0,,,1.71,,,0,0,0,0,0,0
D. Harvie,Milton Keynes Dons,Milton Keynes Dons,"LCB, LWB",25,400000,2025-06-30,15,1484,3,1.37,0,1.29,21.04,53.03,Scotland,Scotland,left,180,65,no,10.01,8.13,55.97,4.79,50.63,0.3,0.4,0.49,5.15,6.85,1.09,5,0.3,1,0.06,2.18,0.18,3,0.18,0.08,0,0,17,1.03,29.41,17.647,0,1.88,54.84,1.88,54.84,0,0,0.24,1.27,57.14,4.06,53.73,1.03,2.55,0.73,35.18,1.03,1.64,47.85,77.44,20.8,62.68,5.7,93.62,16.01,87.5,37.18,86.13,9.04,46.31,21.36,39.6,0.08,0.79,0.06,0,0.18,66.67,0.18,8.19,60,2.67,56.82,0.85,35.71,0.79,0.97,12.8,69.67,0,,0,,0,0,0,0,,,0.67,,,0,0,0,0,0,0
J. Turnbull,Tranmere Rovers,Tranmere Rovers,"LCB, LB",29,400000,2024-06-30,15,1500,0,0.62,0,0.32,17.28,64.24,England,England,left,185,72,no,10.56,6.6,71.82,5.1,61.18,0.9,1.17,0.66,4.92,6.37,0.72,2,0.12,1,0.06,0.54,0,0,0,0.04,0,0,6,0.36,33.33,0,0,0.48,25,0.48,25,0,0,0.06,0.42,57.14,1.56,46.15,0.9,0.66,0,20.46,0.18,0.48,36.3,84.46,17.52,76.03,2.64,95.45,11.76,93.88,30.6,91.76,5.22,47.13,21.33,40.32,0.02,0.24,0.06,0,0.12,50,0.18,5.46,61.54,1.32,31.82,0.6,30,0.36,0.24,8.04,73.13,0,,0,,0,0,0,0,,,1.74,,,0,0,0,0,0,0
A. Stewart,Milton Keynes Dons,Milton Keynes Dons,"CB, RCB",31,400000,2024-05-31,4,347,0,0.1,0,0,27.49,59.43,England,"England, Jamaica",right,183,76,yes,14.78,7.26,75,12.19,53.19,0.52,0.85,0.78,8.82,14.37,0.26,1,0.26,0,0,0.26,0,0,0,0.03,0,0,1,0.26,100,0,0,0,0,0,0,0,0,0,0.26,0,1.3,20,0.52,0,0,23.08,0,0.78,43.05,77.11,17.9,55.07,0.78,66.67,23.08,95.51,36.31,84.29,6.74,38.46,22.9,34.78,0,0,0,0,0,0,0,4.93,52.63,0,0,0,0,0,0,10.12,53.85,0,,0,,0,0,0,0,,,0.26,,,0,0,0,0,0,0
A. Taylor,Bradford City,Bradford City,RCB,33,375000,,6,493,0,0.09,0,0,16.98,60.22,England,"England, Wales",right,193,76,no,9.31,3.1,64.71,10.22,60.71,0.18,0.26,0.37,7.12,10,0.91,1,0.18,0,0,0.73,0,0,0,0.02,0,0,1,0.18,100,0,0,0.55,66.67,0,0,0.55,66.67,0,0.18,100,0.55,33.33,0.91,0.37,0,24.28,0.18,0.55,46.92,80.93,21.36,64.1,3.1,94.12,19.53,96.26,37.42,89.76,8.95,44.9,23.86,44.12,0,0,0,0,0,0,0.18,7.3,50,0.55,33.33,0,0,0.37,0.37,10.22,62.5,0,,0,,0,0,0,0,,,2.56,,,0,0,0,0,0,0
L. Offord,Crewe Alexandra,Crewe Alexandra,"RCB, LCB",23,350000,2024-06-30,17,1746,0,0.02,0,0.6,17.94,64.94,England,England,right,182,80,no,10.93,8.4,73.01,4.12,58.75,0.31,0.4,0.41,4.48,5.8,0.72,3,0.15,0,0,0.26,0,0,0,0,0,0,1,0.05,0,0,0,0.36,0,0,0,0.36,0,0.15,0.26,100,1.96,60.53,0.05,0.88,0.15,30.15,0.52,0.67,45.72,83.65,20.1,69.74,3.71,95.83,17.53,95.29,36.75,92.15,8.61,50.9,22.39,40.97,0.03,0.1,0,0,0,0,0,7.84,60.53,0.88,17.65,0.52,10,0.21,0,8.92,67.63,0,,0,,0,0,0,0,,,1.19,,,0.05,0,0,0,0,0
C. Stokes,Morecambe,Morecambe,"LCB, RCB",32,350000,,5,221,0,0,0,0,17.1,54.76,England,England,left,185,83,no,8.55,4.07,70,11,51.85,0,0,1.22,5.7,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.41,0,0,0,0,0,0,0,0,0,17.51,0,0,34.62,83.53,17.92,75,1.63,100,14.25,91.43,28.51,87.14,5.7,71.43,20.68,18.15,0,0,0,0,0,0,0,3.67,77.78,0.41,0,0,0,0,0,7.33,66.67,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0,0,0
J. Bedeau,Morecambe,Morecambe,LCB,23,350000,2024-06-30,15,1470,0,0.14,0,0.11,17.88,65.41,England,"England, Grenada",left,182,78,no,11.88,6.55,85.05,5.82,53.68,0.24,0.3,1.16,6.06,7.32,0.61,5,0.31,0,0,0.31,0,0,0,0.01,0,0,2,0.12,0,0,0,0.18,33.33,0.18,33.33,0,0,0,0.37,66.67,1.59,42.31,0.43,0.18,0,11.82,0.24,0.49,24.92,72.97,13.53,63.8,1.47,75,8.82,87.5,19.29,80.32,5.45,48.31,22.73,37.53,0.01,0.12,0,0,0,0,0.06,3.8,46.77,0.43,28.57,0.49,50,0.06,0.06,6.31,56.31,0,,0,,0,0,0,0,,,0.49,,,0,0,0,0,0,0
