Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. McGeehan,Colchester United,Colchester United,"RCMF, AMF",28,600000,,12,1071,2,1.98,1,0.27,16.13,47.4,England,"England, Northern Ireland",right,180,71,no,6.39,5.71,58.82,4.54,51.85,0.59,0.7,0.42,2.44,2.88,1.01,3,0.25,1,0.08,1.09,0.17,2,0.17,0.17,1,0.08,17,1.43,41.18,11.765,0.08,0.59,28.57,0.08,100,0.5,16.67,0,0.42,60,3.45,29.27,1.76,1.09,0.34,27.48,0.67,0.34,40.17,80.75,15.88,65.08,8.15,94.85,10.59,88.1,35.71,85.88,3.95,40.43,17.79,32.51,0.02,0.5,0.08,0,0.25,33.33,0.25,6.47,67.53,1.18,35.71,0.59,28.57,0.42,0.17,6.55,71.79,0,,0,,0,0,0,0,,,0.34,,,0.17,0.17,0,0,0,0
E. Watt,Salford City,Salford City,"DMF, LDMF, LCMF",23,400000,2024-06-30,11,1008,0,0.21,1,1.06,14.02,55.41,England,"England, Scotland",right,179,72,no,10.09,6.34,60.56,2.32,61.54,1.07,1.41,0.36,5.18,6.8,0.54,4,0.36,0,0,0.63,0,0,0,0.02,0,0,7,0.63,0,0,0.09,0.63,28.57,0.18,50,0.45,20,0.27,0.36,50,2.5,42.86,0.18,1.07,0,48.93,0.09,0.98,63.93,86.45,23.75,75.56,6.52,100,26.88,93.69,56.25,90.95,7.05,55.7,20.94,41.04,0.09,1.25,0,0.09,0.36,75,0.27,12.68,71.83,2.05,34.78,1.34,26.67,0.8,0.18,11.96,82.84,0,,0,,0,0,0,0,,,1.25,,,0.63,0,0,0.27,0,0
D. Gosling,Notts County,Notts County,"LCMF, RCMF",33,400000,,2,51,0,0,0,0,17.65,40,England,England,right,180,79,no,3.53,5.29,66.67,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,5.29,66.67,0,0,0,35.29,0,3.53,40.59,91.3,10.59,83.33,1.76,100,21.18,100,40.59,91.3,0,0,18.1,0,0,0,0,0,0,0,0,1.76,100,1.76,0,0,0,0,0,3.53,50,0,,0,,0,0,0,0,,,1.76,,,0,0,0,0,0,0
A. Gilbey,Milton Keynes Dons,Milton Keynes Dons,"RCMF, LCMF, AMF",28,350000,,17,1722,3,2.8,1,1.23,18.5,46.61,England,England,right,183,73,no,8.15,5.85,61.61,3.45,48.48,0.31,0.41,0.1,4.23,5.55,1.25,4,0.21,0,0,2.04,0.16,3,0.16,0.15,0,0,32,1.67,34.38,9.375,0.05,1.46,32.14,0.42,25,0.99,31.58,0.63,1.93,51.35,5.96,35.96,1.88,1.83,1.05,22.21,0.99,0.94,34.13,75.34,11.92,59.65,6.85,96.18,10.24,78.57,29.11,82.05,3.61,39.13,18.28,32.8,0.06,0.73,0,0.05,0.1,0,0.37,6.95,62.41,2.14,31.71,0.57,36.36,0.52,0.47,5.7,66.06,0,,0,,0,0,0,0,,,0.31,,,0.37,0,0,0.42,0,0
J. Payne,Milton Keynes Dons,Milton Keynes Dons,"RCMF, AMF",29,350000,2024-06-30,12,843,1,1.32,2,1.79,19.43,43.96,England,England,left,165,60,yes,5.66,5.44,60.78,1.07,10,0,0,0.11,2.35,3.3,0.75,1,0.11,0,0,3.42,0.11,1,0.11,0.14,0,0,15,1.6,26.67,6.667,0.21,2.99,60.71,2.24,66.67,0.64,33.33,0.43,2.03,52.63,9.07,44.71,1.49,1.6,0.43,30.96,0.53,1.49,43.45,85.01,10.68,72,7.79,95.89,16.55,92.26,38.65,89.23,1.81,35.29,17.66,25.59,0.19,1.81,0,0,0.32,33.33,0.75,4.16,66.67,3.42,62.5,0.75,42.86,0.75,1.81,6.62,77.42,0,,0,,0,0,0,0,,,0.11,,,0.64,0.11,100,2.14,0,0
L. Coyle,Accrington Stanley,Accrington Stanley,"LDMF, LCMF",23,350000,2024-06-30,8,802,0,0.65,0,0.2,12.23,53.21,England,"England, Northern Ireland",right,175,67,no,8.42,3.82,64.71,4.15,43.24,0.67,0.96,0,5.27,7.5,0.9,1,0.11,0,0,0.45,0,0,0,0.07,0,0,4,0.45,25,0,0,0.22,100,0.11,100,0.11,100,0,0.22,50,1.35,66.67,0.11,0,0.11,12.68,0.45,1.01,23.57,75.24,8.75,64.1,2.81,88,8.08,83.33,19.98,79.78,3.37,46.67,19.24,38.32,0.02,0.34,0,0,0,0,0.22,3.25,34.48,0.67,50,0.11,0,0.11,0.22,3.48,54.84,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,0,0
D. Cornelius,Harrogate Town,Harrogate Town,"RDMF, LDMF, LCMF",22,350000,,13,947,0,0.14,0,0.03,15.49,50.31,Scotland,Scotland,right,176,74,no,7.51,5.13,64.81,4.18,43.18,0,0,0.19,4.18,5.12,0.57,1,0.1,0,0,0.38,0,0,0,0.01,0,0,2,0.19,0,0,0,0.38,0,0.19,0,0.19,0,0.1,0.67,57.14,3.42,36.11,0.19,0.76,0.57,25.56,0,0.76,42.1,84.42,13.69,72.92,6.56,97.1,15.21,89.38,38.68,86.98,3.04,62.5,18.27,35.87,0,0.19,0,0,0.1,0,0,6.08,75,1.05,36.36,0.19,0,0.29,0,6.27,75.76,0,,0,,0,0,0,0,,,0.67,,,0,0,0,0,0,0
C. Camps,Stockport County,Stockport County,"RCMF, DMF, LCMF",27,350000,2025-06-30,6,204,2,0.81,0,0,15.88,52.78,England,"England, Northern Ireland",right,180,75,no,5.29,3.53,62.5,1.76,50,0,0,0,3.09,4.67,1.32,0,0,0,0,3.09,0.88,2,0.88,0.36,0,0,5,2.21,60,40,0,0.44,0,0.44,0,0,0,0.44,1.76,100,6.62,46.67,0.88,3.53,0.44,31.32,0,1.76,49.41,86.61,14.56,69.7,7.5,100,19.85,93.33,41.47,91.49,7.5,64.71,17.93,21.02,0,0,0,0,0,0,0,7.06,75,3.09,28.57,0,0,0.44,0,6.62,86.67,0,,0,,0,0,0,0,,,1.32,,,0,0,0,0.44,0,0
D. Campbell,Barrow,Barrow,"DMF, LCMF",22,350000,,18,1477,2,1.99,0,2.11,12.55,50.49,Scotland,Scotland,left,181,71,no,7.25,5.24,62.79,1.4,39.13,0.37,0.44,0.06,3.6,4.33,0.55,1,0.06,0,0,1.83,0.12,0,0,0.12,0,0,13,0.79,38.46,15.385,0,1.52,28,1.22,30,0.18,33.33,0.18,1.1,66.67,3.53,50,0.61,0.91,0.55,31.32,0.43,0.85,48.75,85.38,15.78,73.75,8.71,97.9,18.04,90.88,42.23,90.19,5,62.2,21.19,36.99,0.13,1.1,0,0,0.61,60,0.24,8.47,74.82,2.44,52.5,0.97,43.75,0.73,0.49,8.29,80.88,0,,0,,0,0,0,0,,,2.01,,,1.83,0.12,50,1.46,2,100
G. Evans,Wrexham,Wrexham,"DMF, RCB",28,350000,,13,989,0,0.37,0,0.18,12.47,52.55,England,England,right,184,76,no,7.74,4.55,68,3.19,40,0.46,0.59,0.27,4.19,5.41,0.64,1,0.09,0,0,1.27,0,0,0,0.03,0,0,5,0.46,20,0,0,1.46,43.75,0.46,20,1,54.55,0.36,1,45.45,2.28,48,0.55,0.46,0.09,23.66,0.18,0.91,37.95,81.53,13.1,70.14,5.37,91.53,15.65,87.79,31.67,87.93,5.01,49.09,21.72,35.05,0.02,0.36,0,0.09,0.18,50,0.09,5.92,64.62,2,54.55,0.27,0,0.55,0.73,7.37,79.01,0,,0,,0,0,0,0,,,0.73,,,0.09,0.09,0,0.46,0,0
