Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Dabo,Forest Green Rovers,Forest Green Rovers,RWB,27,900000,,4,125,0,0,0,0,22.22,25,England,"England, Sierra Leone",right,181,76,no,7.78,4.44,50,2.22,0,0,0,0,5.56,7.5,1.11,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,1.11,4.44,25,12.22,27.27,1.11,7.78,1.11,35.56,3.33,0,46.67,80.95,11.11,80,6.67,100,21.11,78.95,42.22,89.47,2.22,0,15.17,26.82,0,0,0,0,1.11,0,0,8.89,87.5,3.33,0,1.11,0,0,0,5.56,80,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Malone,Gillingham,Gillingham,"LB, LWB",32,700000,,12,1174,1,1.28,0,0.75,17.6,56.13,England,England,left,189,75,no,10.88,7.89,67.37,2.57,48.39,0.08,0.11,0.5,5.48,7.5,0.83,5,0.38,0,0,3.24,0.08,0,0,0.11,0,0,14,1.16,42.86,0,0,3.32,37.5,3.32,37.5,0,0,0.33,2.24,55.56,4.15,42,1.33,1.08,0.42,21.59,1.08,0.33,33.38,71.14,14.53,61.71,4.23,94.12,10.21,72.36,22.83,81.82,7.56,51.65,21.87,42.33,0.06,0.5,0,0,0.33,75,0.5,7.47,56.67,4.65,41.07,1.33,31.25,0.91,1.25,10.46,75.4,0,,0,,0,0,0,0,,,0.58,,,0.33,0,0,0.25,0,0
J. Tchamadeu,Colchester United,Colchester United,"RWB, RW",20,500000,2024-06-30,4,374,0,0.38,1,0.75,15.16,41.27,England,"England, Cameroon",right,180,72,no,5.05,4.09,52.94,2.17,33.33,0.24,0.34,0,2.65,3.75,0,2,0.48,0,0,3.13,0,0,0,0.09,0,0,3,0.72,33.33,0,0.24,2.89,33.33,0,0,2.89,33.33,0.96,2.65,72.73,7.22,33.33,2.41,1.68,0.24,18.29,1.68,0.24,26.95,72.32,7.46,51.61,5.78,95.83,7.7,75,22.86,78.95,1.2,40,16.88,26.82,0.18,0.72,0,0,0.24,0,0.72,1.68,71.43,2.65,72.73,0.72,66.67,1.2,1.2,4.81,55,0,,0,,0,0,0,0,,,0.72,,,0.24,0,0,0,0,0
J. McClean,Wrexham,Wrexham,"LWB, RWF, LB",34,500000,,7,667,0,0.36,1,1.22,19.19,47.15,Northern Ireland,"Northern Ireland, Republic of Ireland",left,180,70,no,7.02,6.71,53.49,2.96,42.11,0.47,0.56,0.16,2.96,3.54,1.4,3,0.4,0,0,4.99,0,0,0,0.06,0,0,7,1.09,57.14,0,0.16,5.46,34.29,4.68,36.67,0.78,20,0.31,3.28,71.43,5.62,52.78,2.34,1.87,0.47,26.2,2.96,0.78,37.44,72.92,10.29,54.55,7.02,95.56,13.57,73.56,27.3,85.14,4.68,46.67,20.14,39.38,0.19,1.56,0,0,0.16,100,0.62,5.93,42.11,4.52,48.28,0.78,40,0.47,2.18,6.55,80.95,0,,0,,0,0,0,0,,,0.47,,,0.78,0,0,2.03,0,0
D. Oyegoke,Bradford City,Bradford City,"RWB, RDMF, RCB",20,500000,2024-06-30,10,583,0,0.02,0,0.01,19.43,48.36,England,"England, Nigeria",right,178,63,yes,8.76,5.73,61.11,4.46,53.57,0.64,0.96,0.32,4.62,6.96,1.91,2,0.31,1,0.15,2.55,0,0,0,0,0,0,1,0.16,0,0,0,1.59,30,0,0,1.59,30,0.16,4.46,46.43,7.01,34.09,0.8,2.23,0.48,24.05,1.43,1.12,34.88,78.08,10.35,66.15,6.53,95.12,12.58,82.28,29.79,85.56,3.82,37.5,20.8,30,0,0.48,0.16,0,0.16,0,0,3.82,62.5,1.59,20,0.32,0,0,0.32,6.21,61.54,0,,0,,0,0,0,0,,,0.64,,,0,0,0,0,0,0
D. John,Salford City,Salford City,LB,28,450000,2024-06-30,6,547,0,0.11,1,1.1,12.5,48.68,Wales,Wales,left,178,0,yes,6.91,4.11,64,2.63,43.75,0.66,0.97,0.33,3.62,5.32,0.16,0,0,0,0,3.13,0,0,0,0.02,0,0,2,0.33,50,0,0.16,3.13,47.37,2.63,37.5,0.33,100,1.15,2.14,69.23,3.46,52.38,1.48,2.63,1.32,33.24,0.16,0.49,45.74,82.73,17.28,69.52,10.86,95.45,13.16,87.5,35.87,91.28,6.91,52.38,21.13,41.72,0.18,1.48,0,0,0.33,0,0.33,5.43,57.58,2.63,62.5,0.66,25,0.16,1.32,9.87,71.67,0,,0,,0,0,0,0,,,1.32,,,0.33,0,0,1.32,0,0
J. Maxwell,Doncaster Rovers,Doncaster Rovers,"LWB, LB",21,400000,2024-06-30,3,161,0,0.12,0,0.09,25.71,39.13,England,"England, Scotland",left,179,68,no,9.5,7.27,38.46,6.71,25,1.12,1.71,1.12,5.59,8.57,1.12,0,0,0,0,3.35,0,0,0,0.07,0,0,2,1.12,50,0,0,2.24,25,2.24,25,0,0,0,2.8,80,9.5,52.94,1.68,2.24,0.56,25.16,1.12,2.8,37.45,71.64,19.01,61.76,6.71,91.67,7.27,76.92,32.98,74.58,2.24,75,18.19,19.3,0.05,0.56,0,0,0,0,0.56,4.47,62.5,1.68,33.33,0,0,0.56,0.56,10.06,66.67,0,,0,,0,0,0,0,,,1.12,,,0,0,0,0.56,0,0
D. Harvie,Milton Keynes Dons,Milton Keynes Dons,"LWB, LCB, LB",25,400000,2025-06-30,11,1080,3,1.37,0,1.13,20.31,49.33,Scotland,Scotland,left,180,65,no,9.29,8.29,52.75,4.28,46.81,0.18,0.24,0.36,4.74,6.19,0.82,3,0.25,1,0.08,2.28,0.25,3,0.27,0.12,0,0,16,1.46,31.25,18.75,0,2.1,56.52,2.1,56.52,0,0,0.27,1.37,46.67,4.01,50,1.46,2.82,0.82,31.34,1.28,1.55,42.27,77.59,18.67,64.88,5.47,93.33,13.94,86.27,31.24,88.05,9.29,47.06,22.04,39.05,0.1,0.73,0.09,0,0.09,0,0.27,8.38,63.04,3.01,57.58,1,45.45,1.09,1,12.02,78.79,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,0,0
J. Robson,Forest Green Rovers,Forest Green Rovers,LB,25,350000,,12,959,0,0.24,0,0.74,19.42,47.72,Scotland,Scotland,left,173,68,no,10.55,7.2,54.79,5.82,49.15,0.3,0.39,0.39,6.31,8.35,0.69,3,0.28,0,0,1.87,0,0,0,0.02,0,0,3,0.3,33.33,0,0,2.76,32.14,2.76,32.14,0,0,0.39,1.97,45,3.94,45,1.38,0.89,0.3,23.36,1.38,0.89,35.68,73.76,14.98,63.82,7.98,91.36,8.48,79.07,28.39,81.94,4.73,45.83,22.55,31.94,0.07,0.59,0,0,0.2,0,0.39,5.91,56.67,2.56,42.31,0.39,0,0.3,0.89,9.56,69.07,0,,0,,0,0,0,0,,,0.69,,,0.1,0,0,0,0,0
L. Garbutt,Salford City,Salford City,"LWB, LB",30,300000,,4,366,0,0,0,0.17,17.46,46.48,England,England,left,179,73,no,8.61,5.9,62.5,2.7,27.27,0.25,0.38,1.23,4.67,7.22,0.98,2,0.49,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,4.43,33.33,4.43,33.33,0,0,0.49,2.21,55.56,5.16,42.86,0.25,1.23,0.25,29.75,2.21,0,38.85,75.32,12.79,65.38,9.84,95,10.08,80.49,29.02,86.44,5.66,52.17,22.63,35.25,0.04,0.49,0,0,0.25,100,0,4.43,77.78,3.44,42.86,0.74,66.67,0.25,1.72,9.59,69.23,0,,0,,0,0,0,0,,,0.25,,,0.74,0,0,1.97,0,0
