Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Fernández,Chelsea,Chelsea,"LCMF, RCMF, AMF",22,85000000,2031-06-30,8,762,0,2.45,0,1.34,15.47,49.62,Argentina,Argentina,right,178,78,no,6.02,5.67,52.08,1.54,46.15,0.12,0.19,0.35,2.95,4.81,0.83,3,0.35,0,0,2.72,0,0,0,0.29,0,0,16,1.89,37.5,0,0,1.77,13.33,0.59,0,1.18,20,0.24,2.13,50,6.38,42.59,2.24,1.77,0.71,54.8,0.94,1.3,67.2,87.7,22.32,78.31,10.39,97.73,25.28,91.59,57.17,92.15,8.27,72.86,19.54,38.12,0.16,1.06,0.12,0,2.24,31.58,0.47,13.46,76.32,5.08,53.49,4.37,37.84,2.36,0.24,10.63,84.44,0,,0,,0,0,0,0,,,0.47,,,0.71,0.24,0,1.77,1,0
M. Ødegaard,Arsenal,Arsenal,RCMF,24,80000000,2028-06-30,7,690,3,2.45,1,0.81,14.87,37.72,Norway,Norway,left,178,68,no,3.52,4.3,51.52,0.26,0,0.13,0.21,0,1.17,1.9,0.52,1,0.13,0,0,3.39,0.39,1,0.13,0.32,0,0,18,2.35,55.56,16.667,0.13,0.52,50,0,0,0.52,50,0,2.09,56.25,7.57,39.66,2.61,1.3,0.39,30.39,0.39,0.78,39.52,86.8,10.83,75.9,9.91,93.42,11.35,94.25,37.96,88.32,1.04,50,15.89,33.08,0.11,1.3,0.13,0.13,1.7,38.46,0.39,3.26,84,3.91,70,1.7,30.77,2.09,0.13,3.91,80,0,,0,,0,0,0,0,,,0.26,,,0.78,0,0,0.78,2,100
Bruno Fernandes,Manchester United,Manchester United,"AMF, RCMF",29,75000000,2026-06-30,7,715,2,2.31,1,3.48,16.36,52.31,Portugal,Portugal,right,179,69,no,8.31,7.43,55.93,1.01,50,0.5,0.61,0,3.65,4.42,1.01,3,0.38,0,0,4.78,0.25,1,0.13,0.29,0,0,22,2.77,40.91,9.091,0.13,3.52,32.14,1.26,50,2.27,22.22,0.5,1.64,69.23,4.03,53.13,2.77,0.88,0.38,37.01,2.01,0.63,48.21,75.72,17.24,71.53,6.67,94.34,15.99,77.17,36.88,83.28,7.93,58.73,20.39,38.91,0.44,2.39,0.13,0.13,2.14,64.71,1.26,6.55,75,5.92,61.7,2.27,44.44,2.39,1.13,10.57,76.19,0,,0,,0,0,0,0,,,0.25,,,0.63,0.13,0,3.65,1,100
M. Mount,Manchester United,Manchester United,"LCMF, LDMF",24,65000000,2024-06-30,3,238,0,0.09,0,0.11,24.58,38.46,England,England,right,181,74,no,9.83,10.97,44.83,1.89,20,2.65,3.75,0,2.27,3.21,1.13,1,0.38,0,0,0.76,0,0,0,0.03,0,0,2,0.76,0,0,0,1.13,33.33,0.76,50,0.38,0,0,2.65,14.29,8.7,39.13,1.89,1.13,1.13,20.04,0.76,1.13,30.63,83.95,11.34,83.33,5.29,92.86,7.94,90.48,28.74,85.53,1.13,100,16.52,41.35,0.04,1.13,0,0,0.76,0,0,6.05,81.25,2.27,33.33,0.76,0,0,0,4.16,90.91,0,,0,,0,0,0,0,,,0.38,,,0,0,0,2.27,0,0
K. Havertz,Arsenal,Arsenal,LCMF,24,60000000,2025-06-30,7,498,1,1.32,0,0.86,19.52,43.52,Germany,Germany,left,193,84,no,5.06,5.78,46.88,4.7,42.31,0.36,0.56,0.18,1.99,3.08,1.81,3,0.54,0,0,1.08,0.18,0,0,0.24,0,0,8,1.45,12.5,12.5,0,0.9,20,0.9,20,0,0,0.18,1.81,20,5.42,40,3.61,0.9,1.08,22.23,0.9,1.63,28.55,90.51,6.14,82.35,7.23,95,8.86,85.71,27.11,93.33,0.54,66.67,14.24,10.2,0.15,0.72,0,0,0.72,50,0.18,3.43,89.47,1.45,75,0,0,0.9,0.18,1.99,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
J. Maddison,Tottenham Hotspur,Tottenham Hotspur,AMF,26,55000000,2024-06-30,8,746,2,1.72,4,3.37,16.89,50,England,England,right,175,73,no,3.62,4.1,58.82,0.48,0,0.24,0.43,0.12,0.97,1.7,0.84,2,0.24,0,0,5.91,0.24,2,0.24,0.21,0,0,22,2.65,45.45,9.091,0.48,2.41,25,1.57,23.08,0.72,16.67,0.24,4.34,63.89,10.01,50.6,3.62,2.53,0.72,40.66,1.09,2.77,46.21,83.55,13.51,71.43,7.84,93.85,16.65,86.23,40.78,89.35,3.02,52,18.03,42.35,0.41,3.14,0.24,0,2.29,57.89,0.84,6.88,71.93,6.27,55.77,3.02,40,3.5,0.48,7.12,93.22,0,,0,,0,0,0,0,,,0.48,,,1.69,0.12,0,4.83,0,0
S. Tonali,Newcastle United,Newcastle United,RCMF,23,50000000,2027-06-30,6,364,1,0.55,0,0.49,16.57,53.73,Italy,Italy,right,181,79,no,6.43,8.16,57.58,0.74,66.67,0,0,0,1.73,2.16,1.48,2,0.49,0,0,2.97,0.25,1,0.25,0.14,0,0,3,0.74,66.67,33.333,0,2.47,50,0.25,0,2.23,55.56,0,1.24,80,4.95,55,1.48,0.49,0.74,38.32,0.99,0.99,47.72,83.94,9.4,73.68,12.12,93.88,16.81,83.82,43.52,86.93,1.73,57.14,16.72,32.48,0.12,0.99,0.25,0,0.25,100,0.49,4.7,68.42,2.23,55.56,0.49,50,0.49,1.24,6.43,76.92,0,,0,,0,0,0,0,,,0.99,,,0,0,0,0.49,0,0
J. Álvarez,Manchester City,Manchester City,"AMF, RWF, RCMF",23,50000000,2028-06-30,8,732,3,3.02,2,1.28,11.93,47.73,Argentina,Argentina,right,170,70,no,4.07,4.47,60.61,0.81,0,0,0,0,1.36,2.5,1.08,2,0.25,0,0,3.66,0.37,3,0.41,0.41,0,0,20,2.71,50,15,0.27,2.17,25,0.81,16.67,1.36,30,0.41,1.63,83.33,4.47,57.58,3.25,1.49,0.54,26.84,1.63,0.68,32.94,83.13,6.1,80,8.54,93.65,8.81,80,30.09,87.84,0.81,50,15.59,17.95,0.17,1.49,0,0.14,1.22,33.33,0.81,1.63,83.33,2.85,47.62,1.49,36.36,1.08,0.54,3.12,78.26,0,,0,,0,0,0,0,,,0.95,,,1.9,0.68,60,2.85,0,0
Lucas Paquetà,West Ham United,West Ham United,"AMF, LAMF, CF",26,45000000,2027-06-30,8,767,1,1.42,1,1.09,28.16,47.92,Brazil,"Brazil, Portugal",left,180,72,no,9.62,9.39,67.5,3.64,48.39,0.12,0.12,0,3.17,3.18,1.76,4,0.47,0,0,2.82,0.12,0,0,0.17,0,0,7,0.82,28.57,14.286,0.12,1.17,60,1.17,60,0,0,0.12,2.23,52.63,11.38,35.05,1.76,0.82,0.47,29.57,0.47,2.11,43.18,79.62,17.37,72.97,5.87,90,11.73,80,37.08,84.49,5.05,46.51,17.46,34.09,0.13,1.06,0,0,1.53,46.15,1.06,6.57,66.07,2.7,56.52,2.58,22.73,1.41,0.7,7.74,71.21,0,,0,,0,0,0,0,,,0.12,,,0,0,0,0,1,100
D. Szoboszlai,Liverpool,Liverpool,RCMF,22,40000000,2026-06-30,7,718,1,0.93,0,0.58,17.67,53.9,Hungary,Hungary,right,186,74,no,8.52,8.15,58.46,0.88,57.14,0.13,0.16,0.13,3.64,4.75,0.88,0,0,0,0,3.51,0.13,1,0.13,0.12,0,0,14,1.75,28.57,7.143,0,1.38,45.45,0.63,40,0.75,50,0.13,2.88,73.91,5.77,56.52,1.38,1.88,0.88,39.86,1,1.5,52.9,87.91,12.03,73.96,12.53,97,16.67,91.73,48.13,90.63,3.38,66.67,16.24,34.44,0.07,0.88,0.13,0,0.63,40,0.13,4.51,80.56,2.26,55.56,1,50,1.25,0.63,6.39,64.71,0,,0,,0,0,0,0,,,0.63,,,0.75,0.38,0,1.88,0,0
