Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Dias,Manchester City,Manchester City,RCB,25,75000000,2027-06-30,29,2590,2,1.01,4,1.56,11.22,59.13,Portugal,Portugal,right,187,82,no,6.6,4.17,65,4.17,55,0.38,0.69,0.38,3.51,6.34,0.94,5,0.17,0,0,0.35,0.07,2,0.07,0.03,1,0.03,8,0.28,37.5,25,0.14,0.17,40,0.07,50,0.1,33.33,0,0.21,66.67,0.9,38.46,0.63,1.74,0.17,59.8,0.45,0.21,74.54,94.22,21.75,88.02,3.47,95,40.55,97.51,69.53,96.7,4.83,60.43,20.05,36.94,0.05,0.21,0,0.1,0.07,50,0.1,10.32,85.19,0.49,28.57,0.52,40,0.17,0.07,9,78.38,0,,0,,0,0,0,0,,,2.26,,,0,0,0,0,0,0
W. Fofana,Chelsea,Leicester City,"RCB, CB",21,65000000,2029-06-30,7,683,0,0.65,0,0,15.68,67.23,France,"France, Côte d'Ivoire",right,186,76,no,10.15,5.8,68.18,5.27,67.5,0.79,1.06,0.26,5.4,7.24,0.92,2,0.26,0,0,0.79,0,0,0,0.09,0,0,3,0.4,33.33,0,0,0,0,0,0,0,0,0,0.79,83.33,2.77,66.67,0.66,1.58,0.79,48.36,0.53,0.92,63.38,91.27,17.79,77.78,3.69,96.43,34.79,98.11,59.69,94.04,3.69,46.43,19.37,39.42,0,0,0,0,0.13,0,0,5.01,76.32,0.4,0,0.26,0,0,0,5.8,52.27,0,,0,,0,0,0,0,,,2.64,,,0,0,0,0,0,0
C. Romero,Tottenham Hotspur,Tottenham Hotspur,RCB,24,60000000,2027-06-30,22,1987,1,1.29,0,0.53,17.76,59.44,Argentina,Argentina,right,185,79,no,12.95,9.01,66.33,3.9,54.65,0.63,0.8,1.04,6.34,8.02,1.22,8,0.36,0,0,0.77,0.05,1,0.05,0.06,0,0,5,0.23,40,20,0,0.05,0,0,0,0,0,0,0.63,78.57,2.94,43.08,0.54,1.27,0.27,38.18,0.45,0.77,55.17,88.75,20.47,78.76,3.62,96.25,24.19,95.69,49.51,93.23,5.62,50,18.63,37.43,0.02,0.18,0.05,0.14,0.18,100,0,5.44,69.17,0.86,42.11,0.68,46.67,0.32,0,7.79,66.28,0,,0,,0,0,0,0,,,1.27,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,31,50000000,2025-06-30,34,3285,3,3.63,0,0.34,10.41,70,Netherlands,"Netherlands, Suriname",right,193,92,no,5.67,2.82,70.87,4.74,73.41,0.03,0.04,0.38,3.64,5.89,0.25,3,0.08,0,0,0.49,0.08,3,0.08,0.1,2,0.05,27,0.74,51.85,11.111,0,0.03,0,0.03,0,0,0,0,0.14,80,0.93,41.18,1.04,0.68,0.08,48.79,0.55,0.22,65.56,92.6,25.12,85.71,2.79,100,32.6,97.98,59.42,95.9,6.11,60.99,21.49,45.37,0.01,0.08,0,0.05,0,0,0,7.92,74.05,0.55,25,0.68,28,0.22,0,9.01,79.64,0,,0,,0,0,0,0,,,2.25,,,0.03,0.03,0,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,LCB,25,50000000,2027-06-30,35,3312,5,4,0,0.27,11.63,64.49,Brazil,Brazil,left,190,87,no,7.09,4.38,70.81,3.26,60,0.22,0.3,0.63,3.78,5.29,0.6,7,0.19,1,0.03,0.6,0.14,5,0.14,0.11,3,0.08,27,0.73,48.15,18.519,0,0.03,0,0.03,0,0,0,0,0.24,77.78,1.85,57.35,0.95,1.14,0,40.16,0.38,1.06,52.17,91.3,17.17,82.12,2.5,95.65,27.55,96.65,47.2,95.05,4.95,56.04,20.63,39.76,0.01,0.16,0,0,0.11,50,0.05,5.38,76.26,0.33,8.33,0.43,12.5,0.14,0,6.66,68.57,0,,0,,0,0,0,0,,,1.63,,,0,0,0,0,0,0
B. White,Arsenal,Arsenal,RCB,25,50000000,2026-06-30,32,3127,0,1.4,0,0.73,12.69,62.13,England,England,right,185,77,no,8.35,5.27,68.85,3.4,61.86,0.29,0.4,0.75,4.43,6.23,0.52,3,0.09,0,0,0.6,0,0,0,0.04,0,0,11,0.32,36.36,0,0,0.06,0,0,0,0.06,0,0,1.04,41.67,2.24,44.87,0.52,1.73,0.37,35.63,0.2,0.78,48.9,87.58,18.65,75.15,2.94,96.08,21.93,96.06,43.23,92.88,5.61,47.69,20.23,41.1,0.02,0.12,0.03,0.06,0.12,50,0.03,7.22,66.93,0.6,14.29,0.86,33.33,0.23,0.03,6.71,72.53,0,,0,,0,0,0,0,,,1.67,,,0,0,0,0,0,0
R. Varane,Manchester United,Manchester United,"RCB, LCB, CB",29,40000000,2025-06-30,22,1979,1,1.06,0,0.02,11.37,68.4,France,"France, Martinique",right,191,81,no,8.23,5.14,69.03,3.87,69.41,0.09,0.13,0.32,4.59,6.59,0.23,0,0,0,0,0.23,0.05,1,0.05,0.05,0,0,6,0.27,33.33,16.667,0,0,0,0,0,0,0,0,0.23,60,0.82,38.89,0.41,1.18,0.05,33.06,0.18,0.32,47.39,90.6,15.78,81.27,2.77,91.8,24.24,97.19,41.79,94.78,5.59,59.35,20.05,34.9,0,0.05,0,0,0,0,0,5.64,79.03,0.18,25,0.09,50,0.09,0,7.09,66.67,0,,0,,0,0,0,0,,,1.64,,,0,0,0,0,0,0
A. Rüdiger,Real Madrid,Chelsea,LCB,30,40000000,2026-06-30,34,3269,3,4.15,0,1.57,12.33,58.26,Germany,"Germany, Sierra Leone",right,190,86,no,7.57,5.86,61.5,2.51,63.74,0.28,0.44,0.33,3.69,5.86,0.94,9,0.25,0,0,0.91,0.08,3,0.08,0.11,1,0.03,45,1.24,26.67,6.667,0,0.5,27.78,0.41,26.67,0.08,33.33,0.03,0.52,68.42,1.93,42.86,1.05,1.98,0.99,50.77,1.1,0.33,64.97,89.66,23.7,80.6,3.99,95.17,29.4,96.35,56.85,94.38,7.65,58.63,20.68,39.69,0.04,0.3,0.08,0.11,0.19,42.86,0.17,9.8,77.53,1.98,34.72,1.16,33.33,0.74,0.08,10.76,73.91,0,,0,,0,0,0,0,,,1.79,,,0,0,0,0,0,0
A. Laporte,Manchester City,Manchester City,LCB,28,38000000,2025-06-30,33,3039,4,5.42,0,0.05,8.29,60.71,France,"France, Spain",left,191,85,no,5.66,2.96,65,3.02,56.86,0.24,0.44,0.27,3.49,6.44,0.41,5,0.15,1,0.03,0.53,0.12,4,0.12,0.16,2,0.06,29,0.86,31.03,13.793,0,0.15,40,0.12,50,0.03,0,0,0.21,85.71,0.89,63.33,1.1,2.87,0.12,65.63,0.98,0.3,81.71,95.22,28.46,91.68,4.47,98.68,41.22,97.2,76.17,97.24,5.39,68.13,20.51,38.47,0,0.06,0.03,0,0.09,33.33,0.03,13.53,90.15,0.65,50,0.47,43.75,0.21,0.09,11.82,86.72,0,,0,,0,0,0,0,,,3.35,,,0,0,0,0,0,0
I. Konaté,Liverpool,Liverpool,"RCB, LCB",23,35000000,2026-06-30,11,1069,0,0.38,0,0,15.83,59.57,France,"France, Mali",right,194,95,no,9.09,5.98,66.2,5.3,57.14,0.42,0.67,0.84,4.71,7.5,0.84,2,0.17,0,0,0.34,0,0,0,0.03,0,0,4,0.34,0,0,0,0,0,0,0,0,0,0,0.42,60,1.35,31.25,0.42,1.09,0.08,42.01,0.25,0.25,59.19,92.75,25.68,88.2,2.44,93.1,25.85,96.74,55.14,95.57,4.04,54.17,20.16,34.11,0,0,0.08,0,0.34,25,0,8.17,78.35,0.59,57.14,0.67,25,0.17,0,10.19,88.43,0,,0,,0,0,0,0,,,1.77,,,0,0,0,0,0,0
