Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Fernández,Chelsea,Chelsea,"LDMF, LCMF, RCMF",22,85000000,2031-06-30,11,1001,0,2.66,0,1.49,16.54,50.54,Argentina,Argentina,right,178,78,no,6.65,5.93,57.58,1.53,41.18,0.09,0.13,0.45,3.15,4.71,0.9,3,0.27,0,0,2.34,0,0,0,0.24,0,0,21,1.89,33.33,0,0,1.53,11.76,0.54,0,0.99,18.18,0.18,2.07,47.83,7.01,41.03,1.8,1.53,0.81,49.9,0.72,1.35,62.22,86.56,21.31,76.37,9.17,96.08,23.74,91.67,53.32,91.06,7.37,69.51,19.71,39.77,0.13,0.9,0.09,0,1.89,28.57,0.36,11.78,74.81,4.23,51.06,3.69,34.15,1.8,0.18,9.53,81.13,0,,0,,0,0,0,0,,,0.36,,,0.54,0.18,0,1.44,1,0
K. De Bruyne,Manchester City,Manchester City,RDMF,32,80000000,2025-06-30,1,23,0,0.04,0,0.21,,,Belgium,Belgium,right,181,75,no,,,,,,,0,,,10,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.43,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
D. Rice,Arsenal,Arsenal,"DMF, LCMF",24,80000000,2024-06-30,12,1133,2,0.91,1,1.45,14.38,51.93,England,"England, Republic of Ireland",right,185,80,no,8.18,5.08,68.75,2.7,35.29,0.56,0.89,0.16,4.13,6.58,0.56,0,0,0,0,1.75,0.16,2,0.16,0.07,0,0,12,0.95,41.67,16.667,0.08,0.16,0,0.16,0,0,0,0,1.59,75,4.21,50.94,0.87,1.43,0.79,44.72,0.24,0.48,55.76,93.3,13.74,87.28,6.83,94.19,26.77,96.74,52.19,95.13,3.42,69.77,17.81,34.69,0.12,0.71,0,0,0.16,100,0.24,7.39,90.32,1.27,87.5,0.16,100,1.03,0,6.12,84.42,0,,0,,0,0,0,0,,,0.56,,,0,0,0,0.24,0,0
Rodri,Manchester City,Manchester City,"RDMF, LDMF, DMF",27,80000000,2027-06-30,10,927,3,2.04,2,1.59,14.76,49.34,Spain,Spain,right,191,82,no,7.38,5.53,56.14,2.14,68.18,0.1,0.17,0.1,4.17,7.13,1.55,4,0.39,1,0.1,2.04,0.29,3,0.29,0.2,0,0,19,1.84,52.63,15.789,0.19,0.29,0,0.1,0,0.19,0,0.1,1.36,64.29,5.63,36.21,1.55,2.43,0.19,77.28,0.1,0.87,92.43,94.43,20.68,90.14,11.65,96.67,43.11,96.85,85.63,95.58,6.5,83.58,17.82,37.89,0.15,1.07,0.1,0,0.49,40,0.58,13.5,89.21,2.14,68.18,0.97,40,1.46,0,7.96,82.93,0,,0,,0,0,0,0,,,1.46,,,0,0,0,0.19,0,0
M. Ødegaard,Arsenal,Arsenal,RCMF,24,80000000,2028-06-30,9,869,3,2.48,1,0.99,14.91,40.97,Norway,Norway,left,178,68,no,4.35,4.66,55.56,0.21,0,0.41,0.64,0,1.35,2.09,0.41,1,0.1,0,0,3.21,0.31,1,0.1,0.26,0,0,21,2.17,47.62,14.286,0.1,0.41,50,0,0,0.41,50,0,2.59,56,7.46,40.28,2.59,1.14,0.31,29.52,0.31,0.72,37.7,85.99,10.25,72.73,9.63,92.47,10.77,95.19,36.35,87.18,0.93,55.56,15.83,28.67,0.1,1.24,0.1,0.1,1.45,35.71,0.31,3.21,80.65,3.52,64.71,1.55,33.33,1.86,0.1,3.83,72.97,0,,0,,0,0,0,0,,,0.31,,,0.83,0,0,1.04,2,100
M. Mount,Manchester United,Manchester United,"LDMF, AMF, LCMF",24,65000000,2024-06-30,8,443,0,0.21,0,0.18,23.16,43.86,England,England,right,181,74,no,9.95,11.38,53.57,2.03,10,1.42,1.96,0,2.44,3.36,1.42,1,0.2,0,0,1.02,0,0,0,0.04,0,0,3,0.61,0,0,0,1.63,25,0.81,50,0.81,0,0.41,2.03,30,6.5,40.63,2.23,0.81,0.81,19.91,0.61,1.22,29.66,82.88,9.14,80,5.89,96.55,7.92,84.62,27.43,86.67,0.81,75,15.1,21.82,0.04,1.02,0,0,0.61,0,0.2,4.27,80.95,2.64,46.15,0.61,0,0.41,0.2,3.66,83.33,0,,0,,0,0,0,0,,,0.2,,,0,0,0,1.63,0,0
Bruno Guimarães,Newcastle United,Newcastle United,DMF,25,60000000,2028-06-30,11,1073,1,0.98,1,0.86,19.71,46.81,Brazil,"Brazil, Spain",right,182,74,no,6.54,6.21,55.41,1.17,42.86,0.5,0.68,0.25,2.6,3.54,1.51,5,0.42,0,0,2.77,0.08,1,0.08,0.08,0,0,9,0.75,44.44,11.111,0.08,1.09,23.08,0.5,50,0.59,0,0,3.52,54.76,10.32,41.46,1.17,1.01,0.25,41.1,0.17,2.18,52.59,87.56,13.76,73.17,7.47,97.75,22.4,94.38,45.71,91.93,5.79,65.22,19.24,35.58,0.07,0.92,0.08,0,1.01,25,0.42,6.46,74.03,2.77,48.48,1.85,36.36,1.26,0.17,4.78,91.23,0,,0,,0,0,0,0,,,0.42,,,0,0,0,0,0,0
K. Havertz,Arsenal,Arsenal,"LCMF, RCMF",24,60000000,2025-06-30,12,806,1,2.2,1,0.91,20.88,44.92,Germany,Germany,left,193,84,no,5.81,5.25,55.32,5.92,41.51,0.45,0.73,0.11,2.46,4,1.56,4,0.45,0,0,0.78,0.11,0,0,0.25,0,0,12,1.34,8.33,8.333,0.11,0.89,12.5,0.78,14.29,0.11,0,0.11,1.34,25,5.81,40.38,4.58,1,1,23,1,1.45,29.14,86.97,6.25,80.36,7.93,92.96,7.93,84.51,27.8,89.96,0.45,50,13.71,7.79,0.1,0.56,0,0.11,0.56,40,0.33,3.13,85.71,1.34,66.67,0.11,0,1.12,0.11,1.9,94.12,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
C. Gakpo,Liverpool,Liverpool,"LCMF, CF, LWF",24,60000000,2028-06-30,10,517,2,3.06,0,0.04,21.24,42.62,Netherlands,"Netherlands, Togo",right,189,76,no,5.22,5.57,40.63,3.83,40.91,0,0,0.17,2.96,4.36,1.74,0,0,0,0,2.09,0.35,2,0.35,0.53,0,0,16,2.79,31.25,12.5,0,0.52,0,0.35,0,0.17,0,0,2.09,58.33,9.75,46.43,3.31,0.87,0.35,18.45,0.87,2.26,21.24,80.33,6.79,74.36,5.05,100,4.87,75,20.19,82.76,0.52,66.67,14.81,4.44,0.01,0.35,0,0.35,0,0,0,2.44,71.43,1.91,63.64,0,0,1.04,0,3.13,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Caicedo,Chelsea,Chelsea,"RDMF, DMF, LCMF",22,55000000,2027-06-30,10,886,0,0.17,0,0.21,15.24,55.33,Ecuador,Ecuador,right,178,71,no,7.62,6.4,60.32,1.63,56.25,0.41,0.59,0.61,3.35,4.83,1.73,3,0.3,0,0,0.91,0,0,0,0.02,0,0,4,0.41,25,0,0,0.3,33.33,0.1,100,0.1,0,0,1.32,53.85,3.76,59.46,0.2,0.71,0.2,41.14,0.1,1.32,51.6,92.13,11.88,75.21,11.17,97.27,19.1,97.34,47.44,93.79,3.86,76.32,17.02,30.81,0.02,0.2,0.41,0,0.1,0,0,5.89,82.76,0.91,66.67,0.3,33.33,0.61,0,6.09,71.67,0,,0,,0,0,0,0,,,1.42,,,0,0,0,0,0,0
