Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
João Cancelo,Bayern München,Manchester City,LB,28,70000000,2027-06-30,17,1375,2,0.54,1,0.82,18.92,55.02,Portugal,Portugal,right,182,74,yes,6.09,4.52,59.42,2.88,65.91,0.13,0.23,0.07,3.27,5.73,0.79,3,0.2,1,0.07,5.43,0.13,2,0.13,0.04,0,0,16,1.05,18.75,12.5,0.07,3.73,33.33,3.14,33.33,0.52,37.5,0.79,5.83,52.81,9.29,47.89,2.42,4.32,1.18,57.93,3.67,1.11,71.21,86.31,19.11,73.97,14.01,96.73,26.31,90.3,61.99,91.13,5.63,67.44,18.25,34.33,0.05,0.59,0.13,0.07,1.9,48.28,0.39,8.31,74.02,5.5,51.19,2.09,34.38,1.77,1.11,9.56,82.19,0,,0,,0,0,0,0,,,0.65,,,0,0,0,0,0,0
T. Alexander-Arnold,Liverpool,Liverpool,RB,24,70000000,2025-06-30,26,2080,1,1.64,3,5.6,12.29,56.34,England,England,right,180,69,no,8.31,5.88,69.85,1.21,57.14,0.09,0.14,0.13,4.11,6.58,0.61,3,0.13,0,0,3.25,0.04,1,0.04,0.07,0,0,24,1.04,12.5,4.167,0.13,5.37,33.87,0.22,40,5.11,33.9,0.87,1.82,52.38,3.2,40.54,1.25,0.48,0.3,50.28,3.25,0.09,65.16,76.69,25.7,68.86,6.32,97.26,24.36,78.86,48.42,87.22,11.73,52.4,22.69,41.33,0.24,1.73,0.09,0,0.95,36.36,0.69,11.68,66.3,7.18,42.77,3.2,37.84,1.77,1.56,16.36,78.57,0,,0,,0,0,0,0,,,1.13,,,0.78,0.17,25,2.86,0,0
R. James,Chelsea,Chelsea,"RB, RWB, RCB",23,70000000,2028-06-30,12,1050,1,0.77,1,1.91,18.69,54.59,England,England,right,179,77,no,6.86,6,65.71,3.26,55.26,0.17,0.31,0.09,2.74,4.95,0.77,4,0.34,0,0,3.09,0.09,1,0.09,0.07,0,0,13,1.11,30.77,7.692,0.09,3.6,35.71,0.09,100,3.51,34.15,0.6,2.14,64,6.09,43.66,1.46,1.63,0.51,45.69,3.6,1.2,55.8,88.94,13.11,82.35,13.03,99.34,18.51,87.5,49.89,93.99,2.57,63.33,17.82,36.82,0.16,0.77,0.09,0.09,0.34,25,0.34,5.31,79.03,3,54.29,0.09,0,0.86,1.03,8.31,86.6,0,,0,,0,0,0,0,,,1.03,,,1.03,0.17,50,1.11,0,0
A. Robertson,Liverpool,Liverpool,LB,29,55000000,2026-06-30,23,1912,0,2.5,6,4.81,11.77,54.4,Scotland,Scotland,left,178,64,no,6.83,4.85,68.93,2.02,39.53,0.19,0.29,0.19,3.29,5.05,0.56,2,0.09,0,0,3.15,0,0,0,0.12,0,0,13,0.61,30.77,0,0.28,3.58,38.16,3.48,37.84,0.05,100,0.42,1.93,63.41,2.97,55.56,2.26,2.02,1.55,43.31,4.28,0.42,55.21,82.78,17.51,72.58,9.13,96.39,20.19,88.81,47.59,89.22,4.52,46.88,19.13,35.66,0.23,1.46,0.05,0.05,0.75,50,0.66,5.65,67.5,3.25,47.83,0.94,30,1.18,1.13,9.08,77.72,0,,0,,0,0,0,0,,,1.27,,,0.99,0,0,2.92,0,0
B. White,Arsenal,Arsenal,RB,25,50000000,2026-06-30,28,2309,1,0.24,2,1.6,13.53,57.93,England,England,right,185,77,no,8.58,6.59,65.68,2.49,46.88,0.19,0.32,0.16,4.05,6.75,0.58,4,0.16,0,0,1.87,0.04,1,0.04,0.01,0,0,6,0.23,16.67,16.667,0.08,2.42,38.71,0,0,2.42,38.71,0.7,0.97,60,2.53,52.31,1.33,1.79,0.47,45.1,1.72,0.82,54.69,86.67,20.81,82.4,8.03,93.2,17.93,88.91,48.37,92.1,3.98,49.02,18.16,38.07,0.06,0.55,0.16,0,0.66,47.06,0.31,8.93,80.35,3.04,55.13,1.21,41.94,0.9,0.94,9.82,84.92,0,,0,,0,0,0,0,,,1.05,,,0,0,0,0,0,0
Marc Cucurella,Chelsea,Chelsea,"LB, LWB, LCB",24,40000000,2028-06-30,21,1563,0,0.45,2,1.21,16.41,58.25,Spain,Spain,left,173,66,no,12.5,9.62,69.46,2.07,47.22,0.23,0.35,0.58,5.59,8.53,0.86,3,0.17,0,0,1.32,0,0,0,0.03,0,0,6,0.35,0,0,0.12,1.79,35.48,1.79,35.48,0,0,0.23,1.09,57.89,2.07,47.22,0.58,0.86,0.29,41.57,2.25,0.86,53.44,86.85,17.39,76.16,10.25,94.94,16.87,90.44,48.6,91.35,3.17,47.27,17.39,37.31,0.07,0.58,0.06,0,0.12,50,0.29,5.53,71.88,1.73,33.33,0.4,0,0.17,0.52,7.31,65.35,0,,0,,0,0,0,0,,,1.38,,,0.23,0,0,0.75,0,0
B. Chilwell,Chelsea,Chelsea,"LWB, LB",26,35000000,2025-06-30,16,984,2,0.4,2,1.41,17.56,46.35,England,England,left,181,77,no,7.32,5.95,58.46,3.57,48.72,0.37,0.65,0,3.48,6.13,0.73,1,0.09,0,0,1.83,0.18,2,0.18,0.04,0,0,7,0.64,28.57,28.571,0.18,2.56,32.14,2.47,29.63,0.09,100,0.37,1.46,50,4.57,38,1.1,2.2,0.82,37.04,3.2,1.28,45.27,82.83,14.45,65.82,12.16,97.74,11.52,84.92,38.87,89.88,3.93,46.51,16.35,29.67,0.13,0.91,0,0.27,0.37,25,0.55,4.57,68,2.74,33.33,0.64,42.86,0.37,0.82,6.59,66.67,0,,0,,0,0,0,0,,,0.46,,,0.46,0,0,2.74,0,0
A. Danjuma,Tottenham Hotspur,Tottenham Hotspur,LWB,26,35000000,2026-06-30,1,18,0,0,0,0.07,,,Nigeria,"Nigeria, Netherlands",right,178,74,yes,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
L. Shaw,Manchester United,Manchester United,"LB, LCB",27,35000000,2024-06-30,22,1981,1,0.66,3,2.31,16.86,61.19,England,England,left,181,75,no,10.49,7.18,61.39,3,60.61,0.09,0.13,0.45,6,8.34,1.64,5,0.23,0,0,2.18,0.05,1,0.05,0.03,0,0,9,0.41,44.44,11.111,0.14,2.27,38,2.23,38.78,0.05,0,0.18,1.59,68.57,3.54,61.54,0.73,1.91,0.68,39.57,3.18,0.91,54.84,85.25,22.4,81.95,6.04,95.49,16.49,87.33,49.16,89,3.45,63.16,17.29,33.91,0.1,0.95,0.05,0.09,0.45,10,0.5,7.18,78.48,2.45,53.7,0.86,36.84,0.5,0.86,9.09,77.5,0,,0,,0,0,0,0,,,0.86,,,0.27,0.05,0,0.91,0,0
Diogo Dalot,Manchester United,Manchester United,RB,24,35000000,2024-06-30,18,1630,0,1.33,2,1.72,16.67,56.95,Portugal,Portugal,right,184,76,no,9.72,7.56,55.47,2.98,72.22,0.33,0.46,0.28,5.19,7.21,0.83,5,0.28,0,0,2.54,0,0,0,0.07,0,0,15,0.83,26.67,0,0.11,2.37,41.86,0.28,40,2.1,42.11,0.11,1.71,74.19,3.53,56.25,1.66,1.55,0.88,33.07,2.32,0.17,45.77,79.61,16.9,66.34,6.07,92.73,16.34,87.84,37.71,86.24,5.85,50,19.98,38.85,0.1,1.27,0,0.11,0.17,33.33,0.77,5.8,73.33,2.76,56,0.83,13.33,0.72,0.99,9.72,64.2,0,,0,,0,0,0,0,,,0.88,,,0,0,0,0,0,0
O. Zinchenko,Arsenal,Arsenal,LB,26,32000000,2026-06-30,21,1779,1,0.95,2,1.13,13.61,59.85,Ukraine,Ukraine,left,175,64,no,8.6,5.56,71.82,2.93,60.34,0.05,0.08,0.1,4.55,7.63,0.1,2,0.1,0,0,2.43,0.05,1,0.05,0.05,0,0,22,1.11,31.82,4.545,0.1,1.92,28.95,1.92,28.95,0,0,0.25,2.02,57.5,3.64,47.22,1.32,2.93,0.81,49.68,1.06,0.46,65.72,88.14,20.59,81.57,9.11,97.22,23.98,91.35,60.56,91.73,3.39,56.72,17.48,34.89,0.06,0.71,0.1,0.15,0.81,43.75,0.25,9.46,83.96,3.29,56.92,1.01,45,1.37,0.51,9.16,78.45,0,,0,,0,0,0,0,,,0.81,,,0.1,0,0,0.05,0,0
Emerson Royal,Tottenham Hotspur,Tottenham Hotspur,"RWB, RB",24,30000000,2026-06-30,22,1536,2,1.17,1,0.66,19.34,55.15,Brazil,Brazil,right,183,79,no,10.49,6.97,67.23,3.34,42.11,1.11,1.4,0.18,4.69,5.88,1,2,0.12,1,0.06,3.34,0.12,2,0.12,0.07,1,0.06,13,0.76,46.15,15.385,0.06,3.11,28.3,0.23,25,2.87,28.57,0.53,2.81,66.67,6.04,52.43,2.4,1.7,0.82,29.59,2.81,1.52,39.43,81.43,11.19,74.35,7.73,96.97,11.43,81.03,34.22,88.01,2.34,52.5,17.08,24.44,0.04,0.47,0,0,0.41,57.14,0.12,3.52,78.33,2.7,52.17,0.35,50,0.94,0.76,6.91,66.1,0,,0,,0,0,0,0,,,0.64,,,0,0,0,0.06,0,0
T. Castagne,Leicester City,Leicester City,RB,27,28000000,2025-06-30,26,2467,1,1.97,2,1.94,15.58,50.82,Belgium,Belgium,right,185,80,no,10.8,7.59,63.94,3.5,38.54,0.11,0.14,0.36,5.84,7.23,0.62,2,0.07,0,0,1.28,0.04,1,0.04,0.07,1,0.04,11,0.4,36.36,9.091,0.07,1.86,31.37,0.11,0,1.75,33.33,0.26,0.8,54.55,2.26,40.32,1.35,0.73,0.18,30.94,2.12,0.36,42.03,82.29,14.08,72.8,7.52,94.17,11.2,85.02,37.28,87.38,3.1,48.24,16.18,34.46,0.07,0.47,0,0,0.26,42.86,0.26,3.9,75.7,1.53,38.1,0.44,33.33,0.29,0.47,7.73,55.19,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0,0,0
T. Mitchell,Crystal Palace,Crystal Palace,LB,23,28000000,2025-06-30,26,2158,0,0.41,2,1.01,17.14,52.07,England,"England, Jamaica",left,175,65,no,10.68,9.76,60.68,2,37.5,0.25,0.29,0.33,4.5,5.14,0.92,4,0.17,1,0.04,0.83,0,0,0,0.02,0,0,3,0.13,33.33,0,0.08,1.79,20.93,1.75,21.43,0,0,0.17,0.88,47.62,2.67,34.38,0.58,0.58,0.25,22.56,1.29,0.29,32.7,69.64,17.06,64.06,4.8,92.17,6.13,72.11,26.44,76.97,4.46,45.79,18.13,32.91,0.04,0.33,0,0.04,0.21,0,0.21,5.05,61.16,1.96,29.79,0.5,8.33,0.29,0.5,9.68,58.62,0,,0,,0,0,0,0,,,0.42,,,0.04,0,0,0,0,0
J. Justin,Leicester City,Leicester City,"LB, RB, LW",24,25000000,2026-06-30,14,1349,0,0.12,0,0.57,18.75,58.36,England,"England, St. Lucia",right,183,80,no,10.61,7.21,70.37,4.8,48.61,0.4,0.49,0.4,5.14,6.31,0.47,0,0,0,0,1.73,0,0,0,0.01,0,0,5,0.33,0,0,0,1.53,52.17,0.93,50,0.53,50,0.2,2,43.33,4.4,53.03,0.27,1.07,0.73,32.09,1.87,1.8,42.83,84.74,13.81,71.98,9.54,95.8,13.94,90.43,37.36,89.29,4.07,52.46,17.9,32.83,0.04,0.4,0,0,0.13,50,0.27,4.67,71.43,1.93,62.07,0.27,75,0.53,0.67,5.87,63.64,0,,0,,0,0,0,0,,,0.8,,,0,0,0,0,0,0
R. Loftus-Cheek,Chelsea,Chelsea,"RWB, RDMF, RCMF",27,25000000,2024-06-30,19,1361,0,0.8,0,1.36,20.5,52.58,England,"England, Guyana",right,191,88,no,7.41,4.89,66.22,4.56,52.17,0.26,0.42,0.07,3.9,6.21,0.53,1,0.07,0,0,2.38,0,0,0,0.05,0,0,9,0.6,22.22,0,0,1.26,31.58,0,0,1.26,31.58,0.13,3.44,53.85,9.19,48.92,2.05,1.59,1.32,32.2,0.93,1.85,43.98,87.07,9.85,73.15,10.38,94.27,15.28,91.77,40.8,89.95,1.92,62.07,15.75,26.23,0.09,0.53,0.07,0,0.2,0,0.33,5.49,90.36,1.12,70.59,0.33,0,0.93,0.46,5.22,62.03,0,,0,,0,0,0,0,,,0.46,,,0,0,0,0,0,0
