Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Haaland,Manchester City,Manchester City,CF,22,170000000,30/06/2027,26,2283,28,21.93,5,3.16,14.07,34.45,England,"England, Norway",left,195,94,no,1.7,1.54,46.15,3.43,40.23,0.04,0.07,0.16,0.95,1.64,1.02,4,0.16,0,0,2.84,1.1,23,0.91,0.86,5,0.2,86,3.39,50,32.558,0.2,0.51,23.08,0.32,12.5,0.16,50,0.12,1.46,54.05,5.36,35.29,6.07,0.71,0.39,10.53,1.1,0.63,12.77,80.56,2.09,73.58,4.06,85.44,3.47,79.55,12.02,83.28,0.24,66.67,13.74,4.56,0.12,0.55,0.12,0.04,0.47,50,0.43,0.63,75,0.99,64,0.43,45.45,1.3,0.12,0.91,65.22,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,5,100
H. Kane,Tottenham Hotspur,Tottenham Hotspur,CF,29,90000000,30/06/2024,28,2746,21,16.48,1,3.54,19.7,39.6,England,England,right,188,89,no,2.39,2,55.74,3.7,38.05,0.13,0.17,0.16,1.15,1.48,0.82,4,0.13,0,0,3.87,0.69,18,0.59,0.54,10,0.33,93,3.05,41.94,22.581,0.03,0.98,26.67,0.2,16.67,0.79,29.17,0.2,3.47,54.72,9.47,38.41,3.34,0.69,0.39,15.14,1.57,1.28,19.57,72.03,6.49,67.17,3.08,91.49,6.98,72.3,16.16,76.47,2.43,60.81,20.2,33.57,0.12,0.85,0.07,0,1.11,38.24,0.59,3.87,64.41,2.59,56.96,1.61,38.78,1.31,0.26,3.24,86.87,0,,0,,0,0,0,0,,,0.03,,,0.13,0.1,0,0,4,75
M. Rashford,Manchester United,Manchester United,"CF, LAMF, LWF",25,80000000,30/06/2024,26,2274,14,8.15,3,2.69,17.49,38.46,England,"England, St. Kitts and Nevis",right,186,70,no,3.88,2.85,63.89,2.3,31.03,0.12,0.16,0.2,1.94,2.59,0.4,2,0.08,0,0,4.16,0.55,14,0.55,0.32,3,0.12,69,2.73,47.83,20.29,0.12,0.99,24,0.63,12.5,0.36,44.44,0.12,4.99,45.24,9.3,37.02,4,2.49,1.23,18.76,2.22,0.67,21.41,79.11,4.2,69.81,6.77,94.74,4.75,73.33,19.47,82.52,0.99,64,15.67,24.7,0.11,0.67,0.08,0.04,0.59,60,0.32,1.31,69.7,1.82,71.74,0.71,44.44,1.46,0.32,2.69,82.35,0,,0,,0,0,0,0,,,0.08,,,0.16,0.16,0,0,0,0
Gabriel Jesus,Arsenal,Arsenal,CF,25,75000000,30/06/2027,16,1338,5,10.01,5,1.91,33.16,36.51,Brazil,Brazil,right,175,73,no,5.25,5.18,58.44,4.91,30.14,0,0,0.13,2.22,3.6,1.68,4,0.27,0,0,4.98,0.34,5,0.34,0.67,2,0.13,47,3.16,44.68,10.638,0.34,0.94,35.71,0.54,25,0.4,50,0.13,6.26,48.39,17.15,34.9,6.79,2.09,0.74,20.04,1.01,2.49,26.64,84.34,5.52,74.39,7.53,91.07,7.4,84.55,24.82,86.72,0.87,69.23,15.59,22.67,0.13,1.01,0.07,0,0.47,42.86,0.87,2.35,80,1.82,51.85,0.61,44.44,1.55,0.27,2.42,86.11,0,,0,,0,0,0,0,,,1.28,,,0,0,0,0,0,0
R. Sterling,Chelsea,Chelsea,"CF, RAMF",28,70000000,30/06/2027,19,1453,4,6.19,2,3,20.69,36.53,Jamaica,"Jamaica, England",right,172,69,no,3.41,4.21,45.59,0.74,33.33,0.12,0.21,0.06,1.36,2.34,0.99,3,0.19,0,0,4.34,0.25,4,0.25,0.38,0,0,29,1.8,41.38,13.793,0.12,2.35,26.32,0.93,26.67,1.42,26.09,0.37,5.02,49.38,12.57,34.98,4.46,2.42,1.11,23.72,1.61,1.42,29.05,78.04,5.76,66.67,9.48,92.81,6.38,70.87,26.08,84.09,0.62,20,13.98,10.16,0.19,1.3,0,0,1.11,44.44,0.93,1.55,76,3.34,50,1.11,38.89,1.18,0.68,2.54,82.93,0,,0,,0,0,0,0,,,0.19,,,0,0,0,0.43,0,0
D. Núñez,Liverpool,Liverpool,"CF, LWF",23,70000000,30/06/2028,20,1455,8,9.12,3,3.1,21.22,39.94,Uruguay,Uruguay,right,186,80,no,3.46,3.34,51.85,5.13,46.99,0,0,0.19,1.73,2.76,1.11,1,0.06,1,0.06,4.7,0.49,8,0.49,0.56,3,0.19,71,4.39,43.66,11.268,0.19,1.92,29.03,1.24,35,0.68,18.18,0.12,3.9,53.97,9.22,36.91,7.24,2.66,0.74,15.03,3.09,0.8,17.32,65.36,3.03,44.9,4.39,85.92,6.06,64.29,13.92,71.11,1.61,57.69,17.95,22.86,0.19,1.05,0,0,0.43,28.57,1.11,1.42,43.48,1.3,23.81,0.43,28.57,1.42,0.56,1.61,65.38,0,,0,,0,0,0,0,,,0,,,0,0,0,0.06,0,0
K. Havertz,Chelsea,Chelsea,"CF, AMF",23,70000000,30/06/2025,26,2161,7,8.53,0,2.42,22.49,36.3,Germany,Germany,left,193,84,no,4.91,4.62,44.14,6.16,44.59,0.21,0.34,0.04,2.67,4.32,2,4,0.17,0,0,2.42,0.29,6,0.25,0.36,3,0.12,48,2,50,14.583,0,0.71,23.53,0.42,30,0.29,14.29,0.12,2.37,47.37,7.45,30.17,4.46,1.21,0.5,19.57,2.08,0.71,25.03,85.19,4.41,77.36,7.87,93.12,5.46,84.73,23.82,87.06,0.54,76.92,14.12,14.59,0.1,0.79,0.08,0,0.21,60,0.46,2,79.17,0.92,81.82,0.33,75,1.21,0.12,2.29,76.36,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,1,100
C. Gakpo,Liverpool,Liverpool,"CF, LWF",23,60000000,30/06/2028,9,692,4,3.1,0,0.62,23.02,41.24,Netherlands,"Netherlands, Togo",right,189,76,no,4.68,5.2,47.5,4.68,47.22,0.13,0.19,0.13,2.08,3.02,1.56,0,0,0,0,2.99,0.52,4,0.52,0.4,0,0,16,2.08,37.5,25,0,1.82,0,1.3,0,0.52,0,0.39,4.03,54.84,10.4,41.25,3.12,1.82,1.04,13.53,0.65,2.08,17.17,71.21,4.81,72.97,4.16,90.63,3.9,53.33,14.96,80,0.52,50,14.09,18.81,0.08,0.65,0,0.13,0.39,0,0.52,1.56,75,2.34,33.33,0.52,0,0.91,0,1.69,84.62,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Álvarez,Manchester City,Manchester City,CF,23,50000000,30/06/2028,20,846,5,5.54,0,0.61,16.49,39.35,Argentina,Argentina,right,170,70,no,4.68,6.17,50,2.45,17.39,0,0,0,1.6,2.83,1.38,0,0,0,0,3.09,0.53,5,0.53,0.59,0,0,27,2.87,37.04,18.519,0,1.7,18.75,0.53,20,1.06,20,0.21,2.13,60,5.53,46.15,4.26,1.38,0.74,19.89,2.02,0.74,25.74,80.17,4.26,70,6.17,94.83,7.66,76.39,23.4,84.09,0.74,85.71,14.87,12.32,0.07,0.53,0.11,0.11,0.74,57.14,0.21,1.7,68.75,1.91,38.89,0.53,60,0.96,0.32,2.34,72.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Isak,Newcastle United,Newcastle United,CF,23,50000000,30/06/2028,10,690,6,5.58,0,0.37,19.3,38.51,Sweden,"Sweden, Eritrea",right,192,77,no,4.7,3.26,48,4.3,45.45,0.13,0.21,0.26,3,4.76,0.91,1,0.13,0,0,4.17,0.78,4,0.52,0.73,2,0.26,23,3,60.87,26.087,0,0.65,40,0.26,0,0.39,66.67,0.13,4.7,41.67,8.61,33.33,5.22,1.7,0.65,11.35,1.3,0.91,14.22,77.98,3.13,75,3.91,80,3.91,76.67,13.17,79.21,0.39,100,15.12,7.15,0.05,0.39,0,0,0.39,33.33,0.13,1.17,88.89,1.04,25,0.26,0,0.39,0.26,1.43,81.82,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
