Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Saka,Arsenal,Arsenal,"RAMF, RW",21,100000000,2024-06-30,38,3185,11,10.36,5,5.9,23.28,44.05,England,"England, Nigeria",left,178,65,no,4.66,4.61,57.06,1.89,37.31,0.06,0.08,0.06,1.98,2.76,1.02,6,0.17,0,0,4.55,0.31,9,0.25,0.29,0,0,93,2.63,32.26,11.828,0.14,2.12,37.33,0.57,40,1.53,37.04,0.28,5.37,52.11,13.22,41.88,5.34,3.48,0.99,23.26,1.89,1.64,30.09,81.22,6.05,69.16,8.45,93.31,8.96,82.02,26.99,85.45,0.99,60,15.27,16.05,0.17,1.61,0.06,0.11,0.51,22.22,0.45,1.72,67.21,2.01,50.7,0.45,25,1.61,0.79,3.19,70.8,0,,0,,0,0,0,0,,,0.03,,,0.25,0,0,1.61,2,100
L. Díaz,Liverpool,Liverpool,"LWF, RWF",26,75000000,2027-06-30,13,1017,4,3.83,3,1.92,25.49,40.63,Colombia,Colombia,right,180,73,no,4.96,5.04,56.14,2.65,36.67,0.35,0.59,0.09,1.77,2.97,1.15,0,0,0,0,5.66,0.35,4,0.35,0.34,1,0.09,35,3.1,34.29,11.429,0.27,1.33,33.33,0.62,28.57,0.53,50,0.09,6.37,62.5,14.51,39.02,6.28,3.72,1.42,30.09,2.65,1.24,39.47,88.12,6.46,82.19,11.68,94.7,11.68,86.36,37.26,90.02,0.88,90,13.77,23.26,0.17,1.24,0.09,0.09,0.18,100,0.97,1.42,93.75,2.57,72.41,0.35,75,2.39,0.53,3.81,93.02,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Grealish,Manchester City,Manchester City,"LWF, CF, LAMF",27,70000000,2027-06-30,26,2048,3,5.47,3,4.43,19.82,50.78,England,"England, Republic of Ireland",right,180,81,no,4.44,3.74,62.35,2.07,34.04,0.31,0.57,0.09,1.8,3.34,0.75,3,0.13,0,0,5.19,0.13,3,0.13,0.24,1,0.04,43,1.89,37.21,6.977,0.13,2.15,28.57,1.93,29.55,0.18,0,0.44,5.71,63.08,12.39,52.48,6.99,5.05,1.63,32.26,2.15,2.33,40.61,87.88,6.94,78.48,13.1,95.64,10.46,87.39,37.62,91.59,0.92,71.43,15.32,17.75,0.19,1.98,0.04,0.13,0.44,60,0.79,1.71,87.18,2.72,67.74,0.22,60,2.59,0.48,3.34,84.21,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.35,0,0
Mohamed Salah,Liverpool,Liverpool,RWF,30,70000000,2025-06-30,35,2966,23,20.85,10,8.71,21.3,34.9,Egypt,Egypt,left,175,71,no,2.73,3.03,58,1.27,19.05,0,0,0.03,0.97,1.58,0.36,1,0.03,0,0,5.89,0.7,18,0.55,0.63,0,0,129,3.91,44.96,17.829,0.3,1.73,22.81,0.12,25,1.58,23.08,0.33,6.22,47.32,13.62,33.18,7.13,3.7,0.79,28.8,3.67,0.7,32.95,78.73,6.61,67.89,9.25,92.46,8.68,73.78,30.19,83.42,1.06,34.29,13.85,16.48,0.26,1.43,0.12,0.12,1.76,44.83,0.91,1.82,68.33,3.58,53.39,1.91,31.75,2.4,0.55,3.91,86.05,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,0,0.03,6,83.333
S. Mané,Bayern München,Liverpool,"LWF, CF",30,60000000,2025-06-30,34,3021,16,16.92,2,3.78,21.27,40.9,Senegal,Senegal,right,174,69,no,4.32,3.57,61.67,3.34,29.46,0.18,0.29,0.12,1.94,3.12,1.52,5,0.15,0,0,4.23,0.48,16,0.48,0.5,3,0.09,93,2.77,40.86,17.204,0.06,2.17,27.4,1.76,27.12,0.42,28.57,0.27,3.57,55.83,10.72,39.44,5.6,2.47,0.71,25.29,1.94,1.43,31.43,77.35,6.41,68.37,8.28,87.77,9.71,78.83,28.42,81.55,0.83,64.29,16.01,19.61,0.11,0.89,0.12,0.03,1.28,39.53,0.45,3.01,75.25,3.52,60.17,1.13,36.84,2.03,0.57,3.57,78.33,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0,0,0
Gabriel Martinelli,Arsenal,Arsenal,"LAMF, LW",21,60000000,2027-06-30,29,1996,6,4.71,6,4.38,22.82,40.12,Brazil,"Brazil, Italy",right,178,75,no,6.18,5.23,53.45,3.38,33.33,0.14,0.2,0.14,3.25,4.75,1.08,2,0.09,1,0.05,4.01,0.27,5,0.23,0.21,0,0,41,1.85,34.15,14.634,0.27,2.48,23.64,2.21,26.53,0.23,0,0.27,4.87,56.48,11.23,38.96,4.78,3.2,1.31,18.17,1.94,0.86,25.25,78.57,3.61,68.75,7.21,91.88,9.24,77.07,22.05,85.69,0.77,52.94,18.33,11.14,0.2,1.49,0.09,0,0.27,16.67,0.68,0.59,76.92,2.3,49.02,0.23,0,1.49,0.63,2.25,56,0,,0,,0,0,0,0,,,0.14,,,0,0,0,1.4,1,100
Heung-Min Son,Tottenham Hotspur,Tottenham Hotspur,"LWF, AMF, LAMF",30,60000000,2025-06-30,35,3259,23,15.02,8,8.78,15.69,39.79,Korea Republic,Korea Republic,right,183,78,no,3.59,2.98,59.26,1.46,28.3,0,0,0.22,1.82,2.4,0.41,2,0.06,0,0,3.92,0.64,23,0.64,0.41,0,0,84,2.32,57.14,27.381,0.22,1.77,20.31,1.02,18.92,0.66,25,0.47,3.73,56.3,9.64,37.82,3.7,2.4,1.19,22.42,1.49,1.02,27.62,83.4,4.39,71.07,8.51,92.86,7.76,79.72,25.1,89.11,0.8,44.83,15.01,24.78,0.24,1.8,0.06,0.03,0.5,27.78,0.41,1.52,80,2.62,49.47,0.41,26.67,1.27,0.25,1.8,69.23,0,,0,,0,0,0,0,,,0.06,,,0.91,0.06,50,4.34,0,0
J. Sancho,Manchester United,Manchester United,"LAMF, LW, RAMF",22,60000000,2026-06-30,29,2053,3,3.46,3,3,13.68,43.27,England,"England, Trinidad and Tobago",right,180,76,no,4.95,3.42,61.54,0.92,14.29,0,0,0.09,2.85,3.72,0.22,0,0,0,0,3.59,0.13,3,0.13,0.15,0,0,24,1.05,37.5,12.5,0.13,1.75,32.5,0.96,31.82,0.75,35.29,0.31,3.9,60.67,8.07,41.85,4.3,5,1.75,32.05,2.45,0.31,41.69,83.28,8.15,70.43,12.84,94.54,10.83,81.78,39.45,85.56,0.61,85.71,13.87,12.34,0.13,1.62,0.04,0,0.57,46.15,0.75,1.93,77.27,3.2,60.27,0.48,45.45,2.32,0.44,4.52,70.87,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.31,0,0
R. Sterling,Chelsea,Manchester City,"LWF, RWF, CF",28,60000000,2027-06-30,30,2277,13,12.36,4,4.52,22.53,42.46,Jamaica,"Jamaica, England",right,172,69,no,3.95,4.27,60.19,1.03,11.54,0.12,0.22,0,1.26,2.38,0.83,1,0.04,0,0,6.56,0.51,11,0.43,0.49,3,0.12,56,2.21,50,23.214,0.16,3.16,33.75,1.5,28.95,1.62,39.02,0.4,7.51,54.21,14.43,41.64,6.32,3.44,1.19,29.17,2.57,1.46,34.07,83.53,5.14,73.85,11.11,96.8,8.85,83.93,30,89.59,0.99,60,14.76,13.33,0.18,1.34,0.04,0.04,0.83,38.1,1.07,1.11,67.86,3.79,64.58,0.67,23.53,2.33,1.03,3.32,88.1,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0.08,3,66.667
D. Kulusevski,Tottenham Hotspur,Tottenham Hotspur,"RWF, RW, AMF",22,55000000,2024-06-30,18,1344,5,2.9,7,2.86,22.9,41.23,Sweden,"Sweden, North Macedonia",left,186,75,yes,5.16,6.5,44.33,0.8,25,0.07,0.08,0,2.21,2.76,1.34,3,0.2,0,0,4.75,0.33,5,0.33,0.19,0,0,24,1.61,41.67,20.833,0.47,2.14,46.88,0,0,1.94,51.72,0.33,5.16,53.25,12.72,41.58,3.95,2.28,1,22.5,1,0.94,30.87,85.03,5.29,68.35,9.64,96.53,8.71,83.85,28.33,88.42,0.47,57.14,15.38,11.19,0.19,1.41,0.13,0,1.14,29.41,0.94,1.94,75.86,3.01,66.67,1.21,16.67,1.54,0.87,3.62,74.07,0,,0,,0,0,0,0,,,0,,,0,0,0,0.07,0,0
